,smiles,carbons,nitrogens,oxygens,fluorines
88,O=C1CCC1,4,0,1,0
89,O=C1CCN1,3,1,1,0
90,O=C1CCO1,3,0,2,0
91,O=C1CNC1,3,1,1,0
92,O=C1COC1,3,0,2,0
93,CC1CCC1,5,0,0,0
94,CC1CCO1,4,0,1,0
95,CC1COC1,4,0,1,0
96,OC1CCC1,4,0,1,0
97,OC1COC1,3,0,2,0
98,CC1CC1C,5,0,0,0
99,CC1CC1O,4,0,1,0
100,CC1CN1C,4,1,0,0
101,CC1OC1C,4,0,1,0
102,OC1CC1O,3,0,2,0
103,C1C2CC1C2,5,0,0,0
104,C1C2CC1O2,4,0,1,0
105,C#CCC#C,5,0,0,0
106,C#CCC#N,4,1,0,0
107,N#CCC#N,3,2,0,0
108,O=CCC#C,4,0,1,0
109,O=CCC#N,3,1,1,0
110,N=CNC=O,2,2,1,0
111,N=COC=O,2,1,2,0
112,O=CNC=O,2,1,2,0
113,CC#CC#C,5,0,0,0
114,CC#CC#N,4,1,0,0
115,CC#CC=O,4,0,1,0
116,CC#CCO,4,0,1,0
117,CCC#CC,5,0,0,0
118,COC=NC,3,1,1,0
119,CCCC#C,5,0,0,0
120,CCCC#N,4,1,0,0
121,CNCC#N,3,2,0,0
122,COCC#C,4,0,1,0
123,COCC#N,3,1,1,0
124,OCCC#C,4,0,1,0
125,OCCC#N,3,1,1,0
126,CCCC=O,4,0,1,0
127,CCNC=O,3,1,1,0
128,CCOC=O,3,0,2,0
129,COCC=O,3,0,2,0
130,OCCC=O,3,0,2,0
131,CCCCC,5,0,0,0
132,CCCCO,4,0,1,0
133,CCCOC,4,0,1,0
134,CCOCC,4,0,1,0
135,COCCO,3,0,2,0
136,OCCCO,3,0,2,0
137,C#CC1CC1,5,0,0,0
138,C#CC1CN1,4,1,0,0
139,C#CC1CO1,4,0,1,0
140,N#CC1CC1,4,1,0,0
141,N#CC1CN1,3,2,0,0
142,N#CC1CO1,3,1,1,0
143,O=CC1CC1,4,0,1,0
144,O=CC1CN1,3,1,1,0
145,O=CC1CO1,3,0,2,0
146,O=CN1CC1,3,1,1,0
147,CCC1CC1,5,0,0,0
148,CCC1CO1,4,0,1,0
149,CCN1CC1,4,1,0,0
150,COC1CC1,4,0,1,0
151,OCC1CC1,4,0,1,0
152,OCC1CN1,3,1,1,0
153,OCC1CO1,3,0,2,0
154,C1CC=CC1,5,0,0,0
155,C1CN=CO1,3,1,1,0
156,C1OCC=C1,4,0,1,0
157,C1CCCC1,5,0,0,0
158,C1CCOC1,4,0,1,0
159,C1COCO1,3,0,2,0
160,C1C2CCC12,5,0,0,0
161,C1C2COC12,4,0,1,0
162,C1CC2OC12,4,0,1,0
163,N1C=CC=N1,3,2,0,0
164,N1C=CN=N1,2,3,0,0
165,N1C=NC=N1,2,3,0,0
166,N1C=NN=C1,2,3,0,0
167,N1N=CC=N1,2,3,0,0
168,O1C=CC=N1,3,1,1,0
169,O1C=CN=N1,2,2,1,0
170,O1C=NC=N1,2,2,1,0
171,O1C=NN=C1,2,2,1,0
172,O1C=NN=N1,1,3,1,0
173,O1N=CC=N1,2,2,1,0
174,O1N=CN=N1,1,3,1,0
175,O1N=NN=N1,0,4,1,0
176,CC(=NO)C#C,4,1,1,0
177,CC(CO)=NO,3,1,2,0
178,CCC(C)=NO,4,1,1,0
179,ON=C1CCC1,4,1,1,0
180,ON=C1CNC1,3,2,1,0
181,ON=C1COC1,3,1,2,0
182,FC(F)(F)F,1,0,0,4
183,N=C1NC=CO1,3,2,1,0
184,N=C1OC=CO1,3,1,2,0
185,O=C1NC=CN1,3,2,1,0
186,O=C1NC=CO1,3,1,2,0
187,O=C1OC=CO1,3,0,3,0
188,CC1=CC=CN1,5,1,0,0
189,CC1=CC=CO1,5,0,1,0
190,CC1=CN=CO1,4,1,1,0
191,CC1=NC=CO1,4,1,1,0
192,NC1=CC=CN1,4,2,0,0
193,NC1=CC=CO1,4,1,1,0
194,NC1=CN=CO1,3,2,1,0
195,NC1=NC=CO1,3,2,1,0
196,OC1=CC=CN1,4,1,1,0
197,OC1=CN=CN1,3,2,1,0
198,OC1=NC=CN1,3,2,1,0
199,CC1=CNC=C1,5,1,0,0
200,CC1=CNC=N1,4,2,0,0
201,CC1=COC=C1,5,0,1,0
202,CC1=COC=N1,4,1,1,0
203,NC1=CNC=C1,4,2,0,0
204,NC1=CNC=N1,3,3,0,0
205,NC1=COC=C1,4,1,1,0
206,NC1=COC=N1,3,2,1,0
207,OC1=CNC=C1,4,1,1,0
208,OC1=CNC=N1,3,2,1,0
209,OC1=COC=N1,3,1,2,0
210,CN1C=CC=C1,5,1,0,0
211,CN1C=CN=C1,4,2,0,0
212,C1=CC=CC=C1,6,0,0,0
213,C1=CC=NC=C1,5,1,0,0
214,C1=CN=CC=N1,4,2,0,0
215,C1=CN=CN=C1,4,2,0,0
216,C1=NC=NC=N1,3,3,0,0
217,CC(C)(C)C#C,6,0,0,0
218,CC(C)(C)C#N,5,1,0,0
219,CC(C)(N)C#N,4,2,0,0
220,CC(C)(O)C#C,5,0,1,0
221,CC(C)(O)C#N,4,1,1,0
222,CC(C)(C)C=O,5,0,1,0
223,CC(C)(O)C=O,4,0,2,0
224,CC(C)(C)CO,5,0,1,0
225,CC(C)(O)CO,4,0,2,0
226,CCC(C)(C)C,6,0,0,0
227,CCC(C)(C)O,5,0,1,0
228,COC(C)(C)C,5,0,1,0
229,CC#CC(C)=O,5,0,1,0
230,CC#CC(N)=O,4,1,1,0
231,CC#CC(C)C,6,0,0,0
232,CC#CC(C)O,5,0,1,0
233,CC(=O)CC#C,5,0,1,0
234,CC(=O)CC#N,4,1,1,0
235,NC(=O)CC#C,4,1,1,0
236,NC(=O)CC#N,3,2,1,0
237,CC(=N)NC=O,3,2,1,0
238,CC(=N)OC=O,3,1,2,0
239,CC(=O)CC=O,4,0,2,0
240,CC(=O)NC=N,3,2,1,0
241,CC(=O)NC=O,3,1,2,0
242,CC(=O)OC=N,3,1,2,0
243,NC(=N)NC=O,2,3,1,0
244,NC(=O)CC=O,3,1,2,0
245,NC(=O)NC=N,2,3,1,0
246,NC(=O)NC=O,2,2,2,0
247,NC(=O)OC=N,2,2,2,0
248,CC(C)CC#C,6,0,0,0
249,CC(C)CC#N,5,1,0,0
250,CC(O)CC#C,5,0,1,0
251,CC(O)CC#N,4,1,1,0
252,CN(C)CC#N,4,2,0,0
253,CC(C)CC=O,5,0,1,0
254,CC(C)NC=O,4,1,1,0
255,CC(C)OC=O,4,0,2,0
256,CC(O)CC=O,4,0,2,0
257,CN(C)CC=O,4,1,1,0
258,CC(=O)CCO,4,0,2,0
259,CCCC(C)=O,5,0,1,0
260,CCCC(N)=O,4,1,1,0
261,CCNC(C)=O,4,1,1,0
262,CCNC(N)=O,3,2,1,0
263,CCOC(C)=O,4,0,2,0
264,CCOC(N)=O,3,1,2,0
265,COCC(C)=O,4,0,2,0
266,COCC(N)=O,3,1,2,0
267,NC(=O)CCO,3,1,2,0
268,CC(C)CCO,5,0,1,0
269,CC(O)CCO,4,0,2,0
270,CCCC(C)C,6,0,0,0
271,CCCC(C)O,5,0,1,0
272,CCOC(C)C,5,0,1,0
273,COCC(C)C,5,0,1,0
274,COCC(C)O,4,0,2,0
275,CC(=O)C(C)=O,4,0,2,0
276,CC(=O)C(N)=N,3,2,1,0
277,CC(=O)C(N)=O,3,1,2,0
278,NC(=O)C(N)=O,2,2,2,0
279,CC(C)C(C)=O,5,0,1,0
280,CC(C)C(N)=O,4,1,1,0
281,CC(O)C(C)=O,4,0,2,0
282,CC(O)C(N)=O,3,1,2,0
283,CN(C)C(C)=O,4,1,1,0
284,CN(C)C(N)=O,3,2,1,0
285,CC(C)C(C)C,6,0,0,0
286,CC(C)C(C)O,5,0,1,0
287,CC(O)C(C)O,4,0,2,0
288,CC1(C)CCC1,6,0,0,0
289,CC1(C)CCO1,5,0,1,0
290,CC1(C)COC1,5,0,1,0
291,CC1(O)CCC1,5,0,1,0
292,CC1(O)COC1,4,0,2,0
293,CC1(C)CC1O,5,0,1,0
294,CC1(O)CC1O,4,0,2,0
295,CC1CC1(C)C,6,0,0,0
296,CC1CC1(C)O,5,0,1,0
297,CC1OC1(C)C,5,0,1,0
298,CN1CC1(C)C,5,1,0,0
299,CC1CC(=N)O1,4,1,1,0
300,CC1CC(=O)C1,5,0,1,0
301,CC1CC(=O)N1,4,1,1,0
302,CC1CC(=O)O1,4,0,2,0
303,CN1CC(=O)C1,4,1,1,0
304,OC1CC(=O)C1,4,0,2,0
305,CC1CC(C)C1,6,0,0,0
306,CC1CC(C)O1,5,0,1,0
307,CC1CC(O)C1,5,0,1,0
308,CN1CC(O)C1,4,1,1,0
309,OC1CC(O)C1,4,0,2,0
310,CC12CC(C1)C2,6,0,0,0
311,CC12CC(C1)O2,5,0,1,0
312,CC12CN(C1)C2,5,1,0,0
313,OC12CC(C1)C2,5,0,1,0
314,OC12CN(C1)C2,4,1,1,0
315,O=C(C#C)C#C,5,0,1,0
316,O=C(C#C)C#N,4,1,1,0
317,O=C(C#N)C#N,3,2,1,0
318,O=CC(=O)C#C,4,0,2,0
319,O=CC(=O)C#N,3,1,2,0
320,O=CC(=O)C=O,3,0,3,0
321,CC(C#C)C#C,6,0,0,0
322,CC(C#C)C#N,5,1,0,0
323,CC(C#N)C#N,4,2,0,0
324,NC(C#C)C#N,4,2,0,0
325,NC(C#N)C#N,3,3,0,0
326,OC(C#C)C#C,5,0,1,0
327,OC(C#C)C#N,4,1,1,0
328,OC(C#N)C#N,3,2,1,0
329,CC(C=O)C#C,5,0,1,0
330,CC(C=O)C#N,4,1,1,0
331,OC(C=O)C#C,4,0,2,0
332,OC(C=O)C#N,3,1,2,0
333,CC(C=O)C=O,4,0,2,0
334,CN(C=N)C=O,3,2,1,0
335,CN(C=O)C=O,3,1,2,0
336,OC(C=O)C=O,3,0,3,0
337,CN=C(N)C#N,3,3,0,0
338,CN=C(N)C=O,3,2,1,0
339,CCC(=O)C#C,5,0,1,0
340,CCC(=O)C#N,4,1,1,0
341,CNC(=N)C#N,3,3,0,0
342,CNC(=O)C#C,4,1,1,0
343,COC(=O)C#C,4,0,2,0
344,COC(=O)C#N,3,1,2,0
345,OCC(=O)C#C,4,0,2,0
346,OCC(=O)C#N,3,1,2,0
347,CCC(=O)C=O,4,0,2,0
348,CNC(=N)C=O,3,2,1,0
349,CNC(=O)C=O,3,1,2,0
350,COC(=O)C=O,3,0,3,0
351,OCC(=O)C=O,3,0,3,0
352,CCC(=O)CC,5,0,1,0
353,CCC(=O)CO,4,0,2,0
354,CCC(=O)NC,4,1,1,0
355,CCC(=O)OC,4,0,2,0
356,CNC(=O)CO,3,1,2,0
357,CNC(=O)NC,3,2,1,0
358,CNC(=O)OC,3,1,2,0
359,COC(=O)CN,3,1,2,0
360,COC(=O)CO,3,0,3,0
361,OCC(=O)CO,3,0,3,0
362,COC(C)=NC,4,1,1,0
363,CC(CO)C#C,5,0,1,0
364,CC(CO)C#N,4,1,1,0
365,CCC(C)C#C,6,0,0,0
366,CCC(C)C#N,5,1,0,0
367,CCC(N)C#N,4,2,0,0
368,CCC(O)C#C,5,0,1,0
369,CCC(O)C#N,4,1,1,0
370,CNC(C)C#N,4,2,0,0
371,COC(C)C#C,5,0,1,0
372,COC(C)C#N,4,1,1,0
373,NC(CO)C#N,3,2,1,0
374,NCC(N)C#N,3,3,0,0
375,NCC(O)C#N,3,2,1,0
376,OCC(O)C#C,4,0,2,0
377,OCC(O)C#N,3,1,2,0
378,CC(CO)C=O,4,0,2,0
379,CCC(C)C=O,5,0,1,0
380,CCC(O)C=O,4,0,2,0
381,CCN(C)C=O,4,1,1,0
382,COC(C)C=O,4,0,2,0
383,OCC(O)C=O,3,0,3,0
384,CC(CO)CO,4,0,2,0
385,CCC(C)CC,6,0,0,0
386,CCC(C)CO,5,0,1,0
387,CCC(C)OC,5,0,1,0
388,CCC(O)CC,5,0,1,0
389,CCC(O)CO,4,0,2,0
390,COC(C)CO,4,0,2,0
391,OCC(O)CO,3,0,3,0
392,CC1(CC1)C#C,6,0,0,0
393,CC1(CC1)C#N,5,1,0,0
394,CC1(CN1)C#C,5,1,0,0
395,CC1(CN1)C#N,4,2,0,0
396,CC1(CO1)C#C,5,0,1,0
397,CC1(CO1)C#N,4,1,1,0
398,NC1(CC1)C#N,4,2,0,0
399,OC1(CC1)C#C,5,0,1,0
400,OC1(CC1)C#N,4,1,1,0
401,CC1(CC1)C=O,5,0,1,0
402,CC1(CN1)C=O,4,1,1,0
403,CC1(CO1)C=O,4,0,2,0
404,OC1(CC1)C=O,4,0,2,0
405,CC1(CO)CC1,5,0,1,0
406,CC1(CO)CN1,4,1,1,0
407,CC1(CO)CO1,4,0,2,0
408,CCC1(C)CC1,6,0,0,0
409,CCC1(C)CO1,5,0,1,0
410,CCC1(O)CC1,5,0,1,0
411,COC1(C)CC1,5,0,1,0
412,OCC1(O)CC1,4,0,2,0
413,CC1CCC1=O,5,0,1,0
414,CC1CNC1=O,4,1,1,0
415,CC1COC1=N,4,1,1,0
416,CC1COC1=O,4,0,2,0
417,CC1NCC1=O,4,1,1,0
418,CC1OCC1=O,4,0,2,0
419,CN1CCC1=O,4,1,1,0
420,NC1COC1=N,3,2,1,0
421,NC1COC1=O,3,1,2,0
422,OC1CCC1=O,4,0,2,0
423,OC1CNC1=O,3,1,2,0
424,OC1COC1=N,3,1,2,0
425,OC1COC1=O,3,0,3,0
426,CC1CCC1C,6,0,0,0
427,CC1CCC1O,5,0,1,0
428,CC1COC1C,5,0,1,0
429,CC1OCC1O,4,0,2,0
430,OC1CCC1O,4,0,2,0
431,N=C1CN=CN1,3,3,0,0
432,O=C1CC=CC1,5,0,1,0
433,O=C1CC=CN1,4,1,1,0
434,O=C1CN=CN1,3,2,1,0
435,O=C1CN=CO1,3,1,2,0
436,N=C1OCC=C1,4,1,1,0
437,O=C1CCC=C1,5,0,1,0
438,O=C1NCC=C1,4,1,1,0
439,N=C1CCCO1,4,1,1,0
440,N=C1COCO1,3,1,2,0
441,N=C1OCCO1,3,1,2,0
442,O=C1CCCC1,5,0,1,0
443,O=C1CCCN1,4,1,1,0
444,O=C1CCCO1,4,0,2,0
445,O=C1CCOC1,4,0,2,0
446,O=C1COCO1,3,0,3,0
447,O=C1NCCN1,3,2,1,0
448,O=C1NCCO1,3,1,2,0
449,O=C1OCCO1,3,0,3,0
450,CC1=CCCC1,6,0,0,0
451,CC1=CCOC1,5,0,1,0
452,CC1=NCCO1,4,1,1,0
453,CC1CC=CC1,6,0,0,0
454,CC1CN=CO1,4,1,1,0
455,OC1CC=CC1,5,0,1,0
456,CC1CCC=C1,6,0,0,0
457,CC1COC=N1,4,1,1,0
458,CC1OCC=C1,5,0,1,0
459,OC1CCC=C1,5,0,1,0
460,CC1CCCC1,6,0,0,0
461,CC1CCCO1,5,0,1,0
462,CC1CCOC1,5,0,1,0
463,CC1COCO1,4,0,2,0
464,CC1OCCO1,4,0,2,0
465,OC1CCCC1,5,0,1,0
466,OC1CCOC1,4,0,2,0
467,CC1C(C)C1C,6,0,0,0
468,CC1C(C)C1O,5,0,1,0
469,CC1C(C)N1C,5,1,0,0
470,CC1C(O)C1O,4,0,2,0
471,OC1C(O)C1O,3,0,3,0
472,CC12CC1CC2,6,0,0,0
473,CC12CC1CO2,5,0,1,0
474,CC12CC1OC2,5,0,1,0
475,CC12CCC1O2,5,0,1,0
476,OC12CC1CC2,5,0,1,0
477,OC12CC1OC2,4,0,2,0
478,C#CC#CC#C,6,0,0,0
479,C#CC#CC#N,5,1,0,0
480,N#CC#CC#N,4,2,0,0
481,C#CCCC#C,6,0,0,0
482,C#CCCC#N,5,1,0,0
483,N#CCCC#N,4,2,0,0
484,O=CC#CC#C,5,0,1,0
485,O=CC#CC#N,4,1,1,0
486,O=CC#CC=O,4,0,2,0
487,N=COCC#C,4,1,1,0
488,N=COCC#N,3,2,1,0
489,O=CCCC#C,5,0,1,0
490,O=CCCC#N,4,1,1,0
491,O=CNCC#C,4,1,1,0
492,O=CNCC#N,3,2,1,0
493,O=COCC#C,4,0,2,0
494,O=COCC#N,3,1,2,0
495,N=COCC=O,3,1,2,0
496,O=CCCC=O,4,0,2,0
497,O=CCNC=O,3,1,2,0
498,O=CCOC=O,3,0,3,0
499,CC#CC#CC,6,0,0,0
500,CC#CCC#C,6,0,0,0
501,CC#CCC#N,5,1,0,0
502,CC#CCC=O,5,0,1,0
503,CN=CNC=O,3,2,1,0
504,CN=COC=O,3,1,2,0
505,CCC#CC#C,6,0,0,0
506,CCC#CC#N,5,1,0,0
507,OCC#CC#C,5,0,1,0
508,OCC#CC#N,4,1,1,0
509,CCC#CC=O,5,0,1,0
510,OCC#CC=O,4,0,2,0
511,CCC#CCC,6,0,0,0
512,CCC#CCO,5,0,1,0
513,OCC#CCO,4,0,2,0
514,CCN=COC,4,1,1,0
515,CC#CCCO,5,0,1,0
516,CCCC#CC,6,0,0,0
517,COCC#CC,5,0,1,0
518,CCOC=NC,4,1,1,0
519,CCCCC#C,6,0,0,0
520,CCCCC#N,5,1,0,0
521,CCNCC#N,4,2,0,0
522,CCOCC#C,5,0,1,0
523,CCOCC#N,4,1,1,0
524,COCCC#C,5,0,1,0
525,COCCC#N,4,1,1,0
526,OCCCC#C,5,0,1,0
527,OCCCC#N,4,1,1,0
528,CCCCC=O,5,0,1,0
529,CCCNC=O,4,1,1,0
530,CCCOC=O,4,0,2,0
531,CCOCC=O,4,0,2,0
532,COCCC=O,4,0,2,0
533,OCCCC=O,4,0,2,0
534,OCCNC=O,3,1,2,0
535,OCCOC=N,3,1,2,0
536,OCCOC=O,3,0,3,0
537,CCCCCC,6,0,0,0
538,CCCCCO,5,0,1,0
539,CCCCOC,5,0,1,0
540,CCCOCC,5,0,1,0
541,CCOCCO,4,0,2,0
542,COCCCO,4,0,2,0
543,COCCOC,4,0,2,0
544,OCCCCO,4,0,2,0
545,C#CC1CCC1,6,0,0,0
546,C#CC1CCO1,5,0,1,0
547,C#CC1COC1,5,0,1,0
548,N#CC1CCC1,5,1,0,0
549,N#CC1CCN1,4,2,0,0
550,N#CC1CCO1,4,1,1,0
551,N#CC1COC1,4,1,1,0
552,O=CC1CCC1,5,0,1,0
553,O=CC1CCO1,4,0,2,0
554,O=CC1COC1,4,0,2,0
555,O=CN1CCC1,4,1,1,0
556,CN=C1CCO1,4,1,1,0
557,CCC1CCC1,6,0,0,0
558,CCC1CCO1,5,0,1,0
559,CCC1COC1,5,0,1,0
560,COC1CCC1,5,0,1,0
561,COC1COC1,4,0,2,0
562,OCC1CCC1,5,0,1,0
563,OCC1CCO1,4,0,2,0
564,OCC1COC1,4,0,2,0
565,C#CCC1CC1,6,0,0,0
566,C#CCC1CO1,5,0,1,0
567,C#CCN1CC1,5,1,0,0
568,N#CCC1CC1,5,1,0,0
569,N#CCC1CN1,4,2,0,0
570,N#CCC1CO1,4,1,1,0
571,N#CCN1CC1,4,2,0,0
572,N=COC1CC1,4,1,1,0
573,O=CCC1CC1,5,0,1,0
574,O=CCC1CN1,4,1,1,0
575,O=CCC1CO1,4,0,2,0
576,O=CCN1CC1,4,1,1,0
577,O=CNC1CC1,4,1,1,0
578,O=COC1CC1,4,0,2,0
579,CC#CC1CC1,6,0,0,0
580,CC#CC1CN1,5,1,0,0
581,CC#CC1CO1,5,0,1,0
582,CCCC1CC1,6,0,0,0
583,CCCC1CO1,5,0,1,0
584,CCCN1CC1,5,1,0,0
585,CCOC1CC1,5,0,1,0
586,COCC1CC1,5,0,1,0
587,COCC1CN1,4,1,1,0
588,COCC1CO1,4,0,2,0
589,OCCC1CC1,5,0,1,0
590,OCCC1CO1,4,0,2,0
591,OCCN1CC1,4,1,1,0
592,CC1CC1C#C,6,0,0,0
593,CC1CC1C#N,5,1,0,0
594,CC1NC1C#C,5,1,0,0
595,CC1NC1C#N,4,2,0,0
596,CC1OC1C#C,5,0,1,0
597,CC1OC1C#N,4,1,1,0
598,CN1CC1C#C,5,1,0,0
599,CN1CC1C#N,4,2,0,0
600,OC1CC1C#C,5,0,1,0
601,OC1CC1C#N,4,1,1,0
602,CC1CC1C=O,5,0,1,0
603,CC1CN1C=O,4,1,1,0
604,CC1NC1C=O,4,1,1,0
605,CC1OC1C=O,4,0,2,0
606,CN1CC1C=O,4,1,1,0
607,OC1CC1C=O,4,0,2,0
608,CC1CC1CO,5,0,1,0
609,CC1NC1CO,4,1,1,0
610,CC1OC1CO,4,0,2,0
611,CCC1CC1C,6,0,0,0
612,CCC1CC1O,5,0,1,0
613,CCC1CN1C,5,1,0,0
614,CCC1OC1C,5,0,1,0
615,CCN1CC1C,5,1,0,0
616,CN1CC1CO,4,1,1,0
617,COC1CC1C,5,0,1,0
618,COC1CC1O,4,0,2,0
619,OCC1CC1O,4,0,2,0
620,CC(=O)C1CC1,5,0,1,0
621,CC(=O)C1CN1,4,1,1,0
622,CC(=O)C1CO1,4,0,2,0
623,CC(=O)N1CC1,4,1,1,0
624,NC(=O)C1CC1,4,1,1,0
625,NC(=O)C1CN1,3,2,1,0
626,NC(=O)C1CO1,3,1,2,0
627,NC(=O)N1CC1,3,2,1,0
628,CC(C)C1CC1,6,0,0,0
629,CC(C)C1CO1,5,0,1,0
630,CC(C)N1CC1,5,1,0,0
631,CC(O)C1CC1,5,0,1,0
632,CC(O)C1CN1,4,1,1,0
633,CC(O)C1CO1,4,0,2,0
634,C1CC11CCC1,6,0,0,0
635,C1CC11CCO1,5,0,1,0
636,C1CC11COC1,5,0,1,0
637,C1NC11COC1,4,1,1,0
638,C1OC11CCC1,5,0,1,0
639,C1OC11COC1,4,0,2,0
640,C1C2CC1C=C2,6,0,0,0
641,C1C2OC1C=C2,5,0,1,0
642,C1C2CC1CC2,6,0,0,0
643,C1C2CC1OC2,5,0,1,0
644,C1C2CCC1O2,5,0,1,0
645,CC1C2CC1C2,6,0,0,0
646,CC1C2CC1O2,5,0,1,0
647,OC1C2CC1C2,5,0,1,0
648,OC1C2CC1O2,4,0,2,0
649,C1CC=CCO1,5,0,1,0
650,C1CCC=CC1,6,0,0,0
651,C1COC=NC1,4,1,1,0
652,C1CCCCC1,6,0,0,0
653,C1CCOCC1,5,0,1,0
654,C1COCCO1,4,0,2,0
655,C1COCOC1,4,0,2,0
656,C1CC2CCC12,6,0,0,0
657,C1CC2OCC12,5,0,1,0
658,C1OC2COC12,4,0,2,0
659,CC1C2CCC12,6,0,0,0
660,CC1C2COC12,5,0,1,0
661,OC1C2CCC12,5,0,1,0
662,OC1C2COC12,4,0,2,0
663,C1C2CC=CC12,6,0,0,0
664,C1C2OC=NC12,4,1,1,0
665,C1C=CC2NC12,5,1,0,0
666,C1C=CC2OC12,5,0,1,0
667,C1C2CCCC12,6,0,0,0
668,C1C2CCOC12,5,0,1,0
669,C1C2COCC12,5,0,1,0
670,C1C2OCOC12,4,0,2,0
671,C1CC2OC2C1,5,0,1,0
672,C1OCC2NC12,4,1,1,0
673,C1OCC2OC12,4,0,2,0
674,N=C1OC2CC12,4,1,1,0
675,O=C1CC2CC12,5,0,1,0
676,O=C1CC2CN12,4,1,1,0
677,O=C1CC2NC12,4,1,1,0
678,O=C1CC2OC12,4,0,2,0
679,O=C1CN2CC12,4,1,1,0
680,O=C1NC2CC12,4,1,1,0
681,O=C1OC2CC12,4,0,2,0
682,CC1CC2CC12,6,0,0,0
683,CC1CC2OC12,5,0,1,0
684,CC1OC2CC12,5,0,1,0
685,OC1CC2CC12,5,0,1,0
686,OC1CC2NC12,4,1,1,0
687,OC1CC2OC12,4,0,2,0
688,OC1CN2CC12,4,1,1,0
689,C1C2C3CC2C13,6,0,0,0
690,C1C2C3CN2C13,5,1,0,0
691,C1C2C3OC2C13,5,0,1,0
692,N1C2C3NC2C13,4,2,0,0
693,N1C2C3OC2C13,4,1,1,0
694,O1C2C3OC2C13,4,0,2,0
695,C1CC1C1CC1,6,0,0,0
696,C1CC1C1CO1,5,0,1,0
697,C1CC1N1CC1,5,1,0,0
698,C1NC1C1CN1,4,2,0,0
699,C1NC1C1CO1,4,1,1,0
700,C1OC1C1CO1,4,0,2,0
701,C1C2C1C1CC21,6,0,0,0
702,C1C2C1C1NC21,5,1,0,0
703,C1C2C1C1OC21,5,0,1,0
704,C1C2C1N1CC21,5,1,0,0
705,N1C2C1C1NC21,4,2,0,0
706,N1C2C1C1OC21,4,1,1,0
707,O1C2C1C1OC21,4,0,2,0
708,C1C2C3C1CN23,5,1,0,0
709,C1C2C3CC1C23,6,0,0,0
710,C1C2C3CC1N23,5,1,0,0
711,C1C2C3CN1C23,5,1,0,0
712,C1C2C3OC1C23,5,0,1,0
