,selfies,carbons,nitrogens,oxygens,hydrogens
11,[C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][Branch2].[C][C][=C][C][=C][Branch1][C][C][C][Branch1][C][O][=C][Ring1][Branch2].[C][C][=C][C][Branch1][C][C][=C][C][Branch1][C][O][=C][Ring1][Branch2].[C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C].[C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C].[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][O],48,0,6,60
12,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch2][O][C][C][C][O][Ring1][Ring1][C][=C][Ring1][O],13,0,2,18
13,[C][C][Branch1][C][C][=C][C][C][\C][Branch1][C][C][=C][/C][O],10,0,1,18
14,[C][C][Branch1][=C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Branch1][C][O][=O],11,0,3,11
15,[Zn+2].[C][C][C][C][C][Branch1][Ring1][C][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][C][Branch1][C][C][C].[C][C][C][C][C][Branch1][Ring1][C][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][C][Branch1][C][C][C],24,1,4,52
16,[C][C][C][Branch1][C][C][Branch1][Branch2][C][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O][C][C][C][O][Ring1][Ring1],13,0,3,24
17,[C][C][Branch1][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][S],11,0,2,22
18,[C][C][Branch1][C][C][=C][C][C][C][=Branch1][Branch1][=C][C][Ring1][=Branch1][C],10,0,0,16
19,[Na+1].[Al+3].[O-1][Si][Branch1][C][O-1][=O].[O-1][Si][Branch1][C][O-1][=O],0,1,6,0
20,[Zn+2].[C][C][=Branch1][C][=C][C][Branch1][C][O-1][=O],4,1,2,5
21,[C][C][N][C][C][Branch1][C][O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],10,1,2,15
22,[Zn+2].[C][C][C][Branch1][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][Branch1][C][C][C][C][Branch1][C][C][C].[C][C][C][Branch1][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][Branch1][C][C][C][C][Branch1][C][C][C],20,1,4,44
23,[Cl][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],10,0,0,5
24,[C][C][Branch1][C][C][C][C][C][C][=Branch1][C][=C][C][Ring1][Branch2][C][Ring1][#Branch1],10,0,0,16
25,[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][Branch1][C][O][=O].[N][C][C][N][C][C][O],22,2,3,46
26,[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][O],15,0,3,30
27,[N][O],0,1,1,3
28,[C][=C][C][=Branch1][C][=O][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],11,0,3,12
29,[C][C][C][C][N+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1].[O][C][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],29,1,4,41
30,[O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][=C],11,0,2,20
31,[C][C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch1][N][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1],23,2,2,30
32,[C][C][Branch1][C][C][C][C][C][C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],15,0,1,24
33,[C][C][=Branch1][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][C][=C],12,0,0,14
34,[Mo],0,0,1,0
35,[C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][=C],12,0,2,22
36,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],11,0,0,16
37,[O][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1],7,0,2,12
38,[Na+1].[Na+1].[Na+1].[Na+1].[Na+1].[O-1][SH0][=Branch1][C][=O][=Branch1][C][=O][O][C][C][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch2][#Branch1][S][N][C][=N][C][Branch1][C][Cl][=N][C][Branch2][=Branch1][S][N][C][=C][C][=Branch2][Branch1][P][=C][C][C][=C][Branch2][Branch1][C][\C][=Branch2][Ring2][Ring1][=N][/N][C][=C][C][=C][C][Branch1][#C][C][=C][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=C][Ring1][=C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=Branch1][C][=O][C][Ring2][Ring1][#C][=Ring2][Ring1][O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=N][Ring2][Ring2][#C][=C][Ring2][Branch1][=Branch1],32,12,19,19
39,[C][Branch1][S][C][C][C][N][=C][\C][=C][\C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][=C][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1],24,2,0,28
40,[C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch2][Ring2][=N][C][C][=C][C][=Branch2][Ring1][=Branch1][=C][C][Branch1][=C][N][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=Branch2][=C][Ring1][#C][O][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][Branch1][C][O][C][=Branch1][Branch1][=C][Ring2][Ring1][S][N][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=Branch2],41,6,2,50
41,[Cl-1].[C][C][N][Branch1][O][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N+1][Branch1][C][O-1][=O],21,5,2,25
42,[C][C][N][Branch1][=Branch1][C][C][O][Ring1][=Branch1][S][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2],11,2,1,12
43,[C][C][Branch1][C][C][C@H1][C][C@@H1][O][C@][Ring1][Ring1][Branch1][C][C][C@@H1][Ring1][=Branch2][C][Ring1][Branch2],10,0,1,16
44,[Na+1].[Na+1].[Na+1].[Na+1].[N][C][=Branch1][C][=O][N][C][=C][C][Branch2][Ring2][=C][N][C][=N][C][Branch1][C][Cl][=N][C][Branch2][Ring1][=C][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][SH0][=Branch1][C][=O][=Branch1][C][=O][C][C][O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=N][Ring2][Ring1][Branch2][=C][C][=C][Ring2][Ring1][#C][N][=N][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=C][Branch1][=N][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][Ring2][Ring1][C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],29,13,16,20
45,[Na+1].[Na+1].[C][C][C][C][C][C][C][C][C][C][C][C][N][C][=N][C][Branch1][C][Cl][=N][C][Branch2][=Branch1][C][N][C][=C][C][=C][C][Branch1][C][O][=C][Branch2][Ring1][P][N][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=Branch1][#Branch2][=C][C][Ring2][Ring1][O][=C][Ring2][Ring1][#C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=N][Ring2][Ring2][O],38,11,7,40
46,[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][S][C][C],9,1,1,19
47,[C][C][C][Branch1][=C][C][C][C][Ring1][=Branch1][C][O][C][C][C][O][Ring1][Ring1][C][O][C][C][C][O][Ring1][Ring1],14,0,4,24
48,[C][C][Branch1][P][C][C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][N][Ring1][#Branch1][O][C][C][C][Branch1][C][C][Branch1][C][C][C].[N][C][C][O],16,2,3,30
49,[OH1-1].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[O-1][PH0][Branch1][C][O-1][Branch1][C][O-1][=O].[O-1][PH0][Branch1][C][O-1][Branch1][C][O-1][=O].[O-1][PH0][Branch1][C][O-1][Branch1][C][O-1][=O],5,0,13,1
50,[O][=P+1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],12,0,2,8
51,[C][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],9,0,2,8
52,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],12,0,2,16
53,[C][C][=C][C][=C][C][Branch1][O][C][C][Branch1][C][C][Branch1][C][C][C][O][=C][Ring1][N],12,0,1,18
54,[C][C][=Branch1][C][=O][O][C][\C][=C][Branch1][C][C][/C][C][C][=C][Branch1][C][C][C],12,0,2,20
55,[C][C][Branch1][C][C][C@H1][C][C][=C][Branch1][Ring2][C][C][O][C@@H1][Ring1][#Branch2][C][Ring1][=Branch2],11,0,1,18
56,[C][C][C][C][=Branch1][C][=O][C][C][Branch1][C][C][Branch1][C][C][C][Ring1][=Branch2],9,0,1,16
57,[C][=C][C][=Branch1][C][=O][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],17,0,3,16
58,[S][C][C][C][=Branch1][C][=O][O][C][C][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][C][O][C][=Branch1][C][=O][C][C][S],17,0,8,28
59,[C][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][C][C][=C][Ring1][#Branch1][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],19,0,2,24
60,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch2][Ring1][Branch2][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],57,0,6,110
61,[C][C][O][C][=Branch1][C][=O][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C],11,0,2,22
62,[Ca+2].[O-1][Si][Branch1][C][O-1][=O],1,0,3,0
63,[C][C][C][=C][C][=C][Branch1][C][C][N][=C][Ring1][#Branch1],8,1,0,11
64,[C][C][Branch1][C][C][C@@H1][C][C][C@@H1][Branch1][C][C][C][C@H1][Ring1][#Branch1][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][O],13,0,3,24
65,[C][C@][C][C@H1][Branch1][C][O][C@H1][C@@H1][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][O][Ring1][#Branch1][C][C@@H1][Ring1][P][C][C][C@][Ring2][Ring1][Ring2][Branch1][C][O][C][=Branch1][C][=O][C][O],21,0,5,28
66,[Na+1].[Na+1].[C][C][=C][C][=C][Branch2][Branch1][Ring2][N][C][=C][C][=C][Branch2][Ring1][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring2][Ring1][N][=Ring1][N][C][=Branch1][Branch1][=C][Ring2][Ring2][Ring1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],28,4,8,20
67,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Mo].[Mo],0,0,11,0
68,[C][C][=Branch1][C][=C][C][=Branch1][C][=O][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],12,0,3,14
69,[C][C][C][C][O][C][C][O][C][C][O][C][C][=C][C][O][C][O][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][C][C][C],19,0,5,30
70,[C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],14,0,2,14
71,[C][C][C][=C][C][Branch2][Ring1][=Branch1][C][C][=C][C][Branch1][Ring1][C][C][=C][Branch1][C][N][C][Branch1][Ring1][C][C][=C][Ring1][O][Cl][=C][Branch1][C][Cl][C][Branch1][Ring1][C][C][=C][Ring2][Ring1][=Branch1][N],23,2,0,28
72,[Na+1].[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring2][#Branch2][N][C][=C][C][=Branch2][Ring1][O][=C][Branch1][C][N][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring1][P][=Ring1][N][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][Branch1][C][C][=C][Ring2][Ring1][=C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],31,4,6,26
73,[C][C][C][C][Branch1][Ring2][C][C][C][C][Branch1][C][O][=O],8,0,2,16
74,[Zn+2].[S-1][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2].[S-1][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2],14,3,0,8
75,[O][C][=C][C][=C][C][=C][Ring1][=Branch1].[Cl][C][C][C][O][Ring1][Ring1].[C][=O],11,0,3,13
76,[C][C][C][C][C][C][/C][=C][/C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O],12,0,3,18
77,[C][C][=Branch1][C][=C][C][Branch1][C][O][=O].[C][C][Branch1][C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1].[Cl][C][C][C][O][Ring1][Ring1],23,0,5,27
78,[C][C][=C][C][C@H1][C][C@@H1][Ring1][=Branch1][C][Ring1][Ring2][Branch1][C][C][C],10,0,0,16
79,[C][Si][Branch1][C][C][Branch1][C][C][O][Si][Branch1][C][C][Branch1][C][C][C],6,0,1,18
80,[O][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2],9,0,2,6
81,[C][C][=Branch1][C][=C][C][C][C][C][=Branch1][Branch1][=C][C][Ring1][=Branch1][C],10,0,0,16
82,[Na+1].[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][=Branch1][=Branch2][C+1][Branch2][Ring2][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][Ring1][C][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][Ring1][C][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][Branch1][C][C][=C][Ring2][Ring2][S],42,4,6,46
83,[S][=W][=S],0,0,0,0
84,[Na+1].[Na+1].[C][C][=N][N][Branch2][=Branch1][=Branch2][C][=Branch1][C][=O][C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch2][Ring2][#Branch2][C][=C][C][=C][Branch1][=N][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][N][=N][C][C][=Branch1][P][=N][N][Branch1][Branch1][C][Ring1][Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][Branch1][=C][Ring2][Ring1][#C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],32,10,8,24
85,[C][C][=Branch1][C][=O][O][C@H1][C][C@H1][C][C][C@@][Ring1][=Branch1][Branch1][C][C][C][Ring1][=Branch1][Branch1][C][C][C],12,0,2,20
86,[Pb+2].[O-1][Si][Branch1][C][O-1][=O],0,0,3,0
87,[C][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],14,0,2,20
88,[Na+1].[Na+1].[O-1][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][=N][N][\N][=C][C][=C][C][=Branch1][C][=O][C][=Branch2][Ring1][O][=N][/N][C][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][\C][\-Ring2][Ring1][#Branch1][=O][C][=C][C][=C][C][=C][Ring2][Ring2][Ring2][Ring1][=Branch1],26,6,8,16
89,[C][C][C][O][C][C][Branch1][C][C][O][C][C][Branch1][C][C][O],9,0,3,20
90,[C][C][Branch1][C][C][C][C][Branch1][#C][C][C][Branch1][C][C][Branch1][Branch1][C][N][=C][=O][C][Ring1][N][N][=C][=O],12,2,2,18
91,[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][Branch1][C][O][=O].[N][C][C][N][C][C][N],22,3,2,47
92,[C][C][N][Branch1][O][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N+1][Branch1][C][O-1][=O].[C][C][Branch1][C][O-1][=O],24,5,4,24
93,[O][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],13,0,3,10
94,[C][C][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][O][C][=C],10,0,2,18
95,[C][C][=Branch1][C][=C][C][=Branch1][C][=O][N][C][N][C][=Branch1][C][=O][C][Branch1][C][C][=C],9,2,2,14
96,[C][C][\C][=C][/C][C][\C][=C][\-Ring1][Branch2],8,0,0,12
97,[C][O][Si][Branch1][#Branch1][C][C][C][N][=C][=O][Branch1][Ring1][O][C][O][C],7,1,4,15
98,[C][C][O][Si][Branch1][Branch1][C][C][C][Cl][Branch1][Ring2][O][C][C][O][C][C],10,0,3,21
99,[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C][C],16,0,4,22
100,[Na+1].[Na+1].[C][C][=C][C][Branch1][C][C][=C][Branch2][Branch1][P][C][Branch1][C][C][=C][Ring1][Branch2][N][C][=C][C][=C][Branch2][Ring1][O][N][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=Branch1][Branch1][=C][Ring1][Branch2][C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring2][Ring1][=C][=Ring1][N][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],32,4,8,28
101,[O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][O][=C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],13,0,4,10
102,[C][C][C][C][C][C][C][C][C][\C][=C][\C][C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O],16,0,3,26
103,[C][C][Branch1][C][C][C][C][Branch1][C][C][C][C][Branch1][C][C][\C][=C][Branch1][C][/C][C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O],16,0,3,26
104,[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][O][C][O][B][Branch1][C][O][O].[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][O][C][O][B][Branch1][C][O][O][C][C][Branch1][C][O][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C].[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][O][C][O][B][Branch2][Ring1][=C][O][C][C][Branch1][C][O][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][O][C][C][Branch1][C][O][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C],126,0,27,237
105,[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O],17,0,4,24
106,[C][C][O][Si][Branch2][Ring1][#Branch1][C][C][C][S][S][C][C][C][Si][Branch1][Ring2][O][C][C][Branch1][Ring2][O][C][C][O][C][C][Branch1][Ring2][O][C][C][O][C][C],18,0,6,42
107,[C][O][C][=C][C][=C][Branch1][#C][\C][=C][\C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][C][C][=C][Ring1][S],15,0,3,20
108,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][=O],18,1,3,35
109,[C][C][\C][=C][/C][C][\C][=C][/C][C][/C][=C][\-Ring1][N],12,0,0,18
110,[C][C][Branch2][Branch1][P][C][C][N][Branch1][S][C][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=S][S][Zn][S][C][=Branch1][C][=S][N][Branch1][S][C][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C],38,3,0,76
111,[Br][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N],14,1,0,10
112,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][C][Branch1][C][C][C][Ring1][#Branch2].[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][C][Branch1][C][C][C][Ring1][#Branch2],52,2,4,102
113,[C][C][C][C][C][Branch1][Ring1][C][C][C][N][C][=Branch1][C][=O][C][C][C][C][C][C][Branch1][C][C][C],17,1,1,35
114,[C][O][C@H1][C][C@@H1][Branch1][#Branch2][O][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][O][O][C][C@H1][Branch1][C][C][O][C@H1][Branch1][#Branch1][C][C@@H1][Ring1][#Branch1][O][C][O][C][C@@H1][Branch1][C][C][/C][=C][/C][=C][C][O][C@@H1][C@H1][Branch1][C][O][C][=Branch2][Branch1][#Branch2][=C][C@@H1][Branch2][Ring2][=N][C][=Branch1][C][=O][O][C@H1][C][C@@H1][Branch1][Branch2][C][\C][=C][Ring2][Ring1][Branch2][/C][O][C@@][Branch1][Ring2][C][Ring1][#Branch2][O][C@@H1][Branch1][=Branch2][C@@H1][Branch1][C][C][C][=C][Ring1][Branch2][C][C][C][C][C][C][Ring1][=Branch1][C@][/-Ring2][Ring2][Ring1][Ring2][Ring1][S][O][C],50,0,14,74
115,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],18,0,0,14
116,[C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=C][C][Ring1][=N][=C][Ring1][O][Ring1][#Branch1],16,0,0,10
117,[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C][C],16,0,4,22
118,[C][C][C][Branch1][Ring1][C][C][C][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][#N],13,1,0,23
