,SMILES
42,[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1
43,C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2
44,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5
45,[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O
46,C1CN(CCO1)Sc2sc3ccccc3n2
47,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2
48,[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O
49,[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1
50,CCCN(CCC)C(=O)SCC
51,C1CC(CCC1COCC2CO2)COCC3CO3
52,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO
53,[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
54,O=[P+]1Oc2ccccc2c3ccccc13
55,C=COC(=O)c1ccccc1
56,COC(=O)c1ccc(cc1)C(C)(C)C
57,Cc1cccc(CC(C)(C)CO)c1
58,CC(=O)OC\C=C(C)/CCC=C(C)C
59,CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2
60,CC1CC(=O)CC(C)(C)C1
61,C=CC(=O)OCCOc1ccccc1c2ccccc2
62,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
63,Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2
64,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
65,CCOC(=O)CC(C)CC(C)(C)C
66,[Ca++].[O-][Si]([O-])=O
67,CCc1ccc(C)nc1
68,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O
69,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
70,[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O
71,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo]
72,CC(=C)C(=O)OCCOc1ccccc1
73,CCCCOCCOCCOCc1cc2OCOc2cc1CCC
74,CF
75,C(COc1ccccc1)Oc2ccccc2
76,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N
77,[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5
78,CCCC(CCC)C(O)=O
79,[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3
80,Oc1ccccc1.ClCC2CO2.C=O
81,CCCCCC/C=C/C1CC(=O)OC1=O
82,CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3
83,CC1=CC[C@H]2C[C@@H]1C2(C)C
84,C[Si](C)(C)O[Si](C)(C)C
85,FC(=C)C(F)(F)F
86,O=C1Oc2ccccc2C=C1
87,CC(=C)C1CCC(=CC1)C
88,[Na+].CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1
89,S=[W]=S
90,[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6
91,CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C
92,[Pb++].[O-][Si]([O-])=O
93,CCCC(=O)OC(C)(C)Cc1ccccc1
94,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15
95,CCCOCC(C)OCC(C)O
96,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
97,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN
98,CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O.CC([O-])=O
99,O=C(Oc1ccccc1)Oc2ccccc2
100,CCCCC(CC)C(=O)OC=C
101,CC(=C)C(=O)NCNC(=O)C(C)=C
102,C\1C\C=C/CC\C=C1
103,CO[Si](CCCN=C=O)(OC)OC
104,CCO[Si](CCCCl)(OCC)OCC
105,CCCCOC(=O)c1ccccc1C(=O)OCCCC
106,[Na+].[Na+].Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O
107,Oc1ccc(c(O)c1O)C(=O)c2ccccc2
108,CCCCCCCCC\C=C\CC1CC(=O)OC1=O
109,CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O
110,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC
111,CCCCCCCCCC(=O)Oc1ccc(cc1)C(O)=O
112,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC
113,COc1ccc(\C=C\C(=O)OCCC(C)C)cc1
114,CCCCCCCCCCCCCCCC(=O)NCC(O)=O
115,C\1C\C=C/CC\C=C/CC/C=C1
116,CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C
117,BrCc1ccc(cc1)c2ccccc2C#N
118,CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2
119,CCCCC(CC)CNC(=O)CCCCCC(C)C
120,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)OC2[C@H](C)O[C@H](C[C@@H]2OC)OC3[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O[C@H]6C[C@@H](C\C=C3/C)O[C@@]7(C6)O[C@@H]([C@@H](C)C=C7)C8CCCCC8)[C@]45O)C
121,c1ccc(cc1)c2ccc(cc2)c3ccccc3
122,c1cc2ccc3cccc4ccc(c1)c2c34
123,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC
124,CCC(CC)CC1(CCCCC1)C#N
125,COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)[N+]([O-])=O
126,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C
127,CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1
128,FC1(F)Oc2cccc(C=O)c2O1
129,CCNc1cc(C#N)c(N)c2C(=O)c3ccccc3C(=O)c12
130,CCCCCCCC\C=C/CCCCCCCCNCCCN.CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O
131,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1
132,O=[V]=O
133,[Cl-].CCCCCCCCCCCC[n+]1ccccc1
134,Cc1cccc(C)c1OCC(O)=O
135,CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC
136,[Na+].[Na+].OCC1=CC(=N/Nc2ccc(c3ccccc23)[S]([O-])(=O)=O)\C(=O)/C(=N/Nc4ccc(c5ccccc45)[S]([O-])(=O)=O)C1=O
137,CC(=O)c1ccc(O)cc1
138,[O--].[O--].[Mg++].[Ca++]
139,[Na+].[Na+].Nc1ccc2cc(c(N=Nc3ccc(N=Nc4cccc(C([O-])=O)c4O)c5ccccc35)c(O)c2c1)[S]([O-])(=O)=O
140,CC(C)=CCC\C(C)=C\C=C\C(C)=O
141,C=CN1CCN(C=C)C1=O
142,Nc1cc(ccc1O)[N+]([O-])=O
143,[Mg++]
144,O=[Ca]
145,[O-][N+](=O)c1ccc2NC(=O)Nc2c1
146,Cc1ccc(cc1)[S](=O)(=O)/C(=C/N2CC(=O)NC2=S)C#N
147,CCC1=C(O)C(=O)C=CO1
148,COC(=O)Cc1ccccc1
149,O.[Pb].O[S](O)(=O)=O
150,Cc1c(Cl)cccc1[N+]([O-])=O
151,[OH-].[OH-].[Ca++]
152,[Si+4].[Si+4].[Si+4].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
153,CCCCCCCl
154,CC(=C)C(=O)OCC(F)(F)F
155,[O-][N+](=O)O[Bi](O[N+]([O-])=O)O[N+]([O-])=O
156,CCCCCCC(C)=O
157,CCCCC/C=C/CC(CC(O)=O)C(O)=O
158,CCCC(CCC)(C(O)=O)C(CCC)(\C=C\C)C(O)=O
159,C[C@H]1CC(=O)C=C2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C
160,[Na+].CC\1=Nc2ccccc2C1=N/Nc3cc(Cl)c(cc3Cl)[S](=O)(=O)NCC[S]([O-])(=O)=O
161,CC(C)(O)C(=O)c1ccc(Cc2ccc(cc2)C(=O)C(C)(C)O)cc1
162,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Ba++]
163,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12
164,O=C(Nc1ccccc1)Nc2ccccc2N[S](=O)(=O)c3ccccc3
165,[O--].[O--].[O--].[K+].[K+].[Ti+4]
166,CCCCC(CC)COC(=O)C=C
167,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(CC)CCCC.CCCCC(CC)CO[P]([S-])(=S)OCC(CC)CCCC
168,CC(=O)OC1CC2CC1C3CCCC23
169,CCS
170,CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC
171,C[C@H](CCC=C(C)C)CC=O
172,CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2
173,CC(C)c1ccc(CCC=O)cc1
174,CCCCBr
175,[Na+].CCCCCCCCCCCC(=O)N[C@@H](CCC(O)=O)C([O-])=O
176,CCCOC(C)OCCc1ccccc1
177,COC(OC)C(C)(C)CC=C(C)C
178,COC(C)(C)C1CCC(=CC1)C
179,[Co+3].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC.CC(C)OCCCN[S](=O)(=O)c5ccc([O-])c(c5)N=Nc6c(C)nn(c6[O-])c7ccccc7.CC(C)OCCCN[S](=O)(=O)c8ccc([O-])c(c8)N=Nc9c(C)nn(c9[O-])c%10ccccc%10
180,[O-][N+](=O)c1cc(Cl)ccc1Cl
181,CC/C(C)=C/CCC(C)(O)C#C
182,CO[Si](CCCOC(=O)C(C)=C)(OC)OC
183,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(=O)C=C.ClCC3CO3
184,O=C1C=CC(=O)N1c2ccccc2
185,Cc1ccc(cc1)N2N=C(C)CC2=O
186,OB(O)c1ccc(C=O)cc1
187,CC(=O)CC(C)(C)c1ccccc1
188,CCCCCOC(=O)CC
189,FC(F)=C(F)Cl
190,CCCCCCCCCCCCOCCO
191,NCCCCCCCCCCC(O)=O
192,NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2
193,C\C=C1/CC2CC1C=C2
194,CCN(C(=O)N(CC)c1ccccc1)c2ccccc2
195,CCCCOC(=O)c1ccccc1N
196,Oc1ccccc1C(=O)OCc2ccccc2
197,CCCC[Sn](CCCC)(CCCC)CCCC
198,[Mg++].C[O-].C[O-]
199,[Cd++]
200,O[S](=O)(=O)c1cccc2cc(Nc3ccccc3)cc(Nc4ccccc4)c12
201,CCC(C)(OOC(C)(C)C)OOC(C)(C)C
202,S(c1ccccc1)c2ccccc2
203,CCOCCCN[S](=O)(=O)c1ccc(Oc2cc(O)c3C(=O)c4ccccc4C(=O)c3c2N)cc1
204,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl
205,[Ca++].CC1=NN(c2cccc(c2)[S]([O-])(=O)=O)C(=O)C1N=Nc3cc(Cl)c(Cl)cc3[S]([O-])(=O)=O
206,CCO
207,COc1ccc(OC)cc1
208,C1CCC(CC1)OCCc2ccccc2
209,[Co++].CCC(C)(CCC(C)C)C([O-])=O.CCC(C)(CCC(C)C)C([O-])=O
210,C/C=C/C(=O)C1C(C)C=CCC1(C)C
211,O=C(OCC1CO1)c2ccc(cc2)C(=O)OCC3CO3
212,CCCCC/C=C/CCC=O
213,[Na+].[Na+].CN(CCO)c1nc(Nc2ccccc2)nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6ccccc6)nc(n5)N(C)CCO)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n1
214,Cc1cc(C)c(C)c(O)c1
215,CC(F)(F)F
216,CC(C)(O)C(=O)c1ccc(OCCO)cc1
217,CN=C=S
218,CN(C(=O)N(C)c1ccccc1)c2ccccc2
219,O=C1CCCCCCCCCCC(=O)OCCO1
220,CC(C)CCCCCCCO
221,[Co++].CCC([O-])=O.CCC([O-])=O
222,CCOC(=O)C1OC1c2ccccc2
223,CC(C)CCCC(C)(C)O
224,CCC(=O)OCc1ccccc1
225,CC(=O)OC1(CCCCC1)C#C
226,CCN(CC)CC
227,CCCCCCCC\C=C/CCCCCCCCNCCCNCCCN
228,CSC
229,[Na+].CNC([S-])=S
230,Nc1cc(Cl)c(Cl)cc1Cl
231,Clc1cccc(n1)C(Cl)(Cl)Cl
232,OC(=O)c1cc2ccccc2cc1O
233,C\C=C/C=C.C/C=C/C=C.C1CC=CC1
234,CC(C)c1cccc(c1)C(C)CC=O
235,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].Nc1c(N=Nc2cc(Nc3nc(Cl)nc(Nc4cccc(c4)[S](=O)(=O)CCO[S]([O-])(=O)=O)n3)ccc2[S]([O-])(=O)=O)c(cc5cc(c(N=Nc6ccc7c(cccc7[S]([O-])(=O)=O)c6[S]([O-])(=O)=O)c(O)c15)[S]([O-])(=O)=O)[S]([O-])(=O)=O
236,FC1CC(F)(F)C(F)(F)C1(F)F
237,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
238,CCCCC
239,COc1cc(\C=C\C)ccc1O
240,Cc1ccc(C=O)cc1C
241,O.CC([NH3+])c1ccccc1.C[C@@H]2O[C@@H]2[P](O)([O-])=O
242,[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=C(I)C(=O)C(=C3Oc4c(I)c([O-])c(I)cc24)I
243,CCCCOC(C)=O
244,Nc1ccc(c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O
245,COc1cc(C=O)cc(c1O)[N+]([O-])=O
246,CCN(CC)c1cccc(NC(C)=O)c1
247,O=[Pb]
248,Cc1ccccc1NC(N)=Nc2ccccc2C
249,CCCC(CC)COC(=O)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
250,CC1(C)CCCC2(C)C3CCC(C13)C2=C
251,Oc1ccccc1C(=O)OCCc2ccccc2
252,CC(COC(=O)c1ccccc1)OC(=O)c2ccccc2
253,[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
254,CCC(C)(C)C1CCCCC1OC(C)=O
255,N#C[C](=[C]1CC[CH2]CC1)c2ccccc2
256,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
257,[O-][N+](=O)c1ccc(CCc2ccc(cc2)[N+]([O-])=O)cc1
258,CC(C)(C)CC(C)(C)c1ccc(O)cc1
259,CCCCCCCCCc1ccc(O)cc1
260,COc1ccc(cc1[N+]([O-])=O)C(=O)Nc2ccc(cc2)C(N)=O
261,[Cl-].CCCCCCCCCCCCCCCCCC[NH+](C)C
262,[Br-].CCCC[N+](CCCC)(CCCC)CCCC
263,[OH-].[OH-].[Cd++]
264,Fc1ccc2O[C@@H](CCc2c1)[C@@H]3CO3.Fc4ccc5O[C@@H](CCc5c4)[C@H]6CO6.Fc7ccc8O[C@H](CCc8c7)[C@@H]9CO9.Fc%10ccc%11O[C@H](CCc%11c%10)[C@H]%12CO%12
265,CC(C)=CCC\C(C)=C\CO
266,COc1ccccc1OC
267,Nc1cnn(CCO)c1N.O[S](O)(=O)=O
268,[Na+].[Na+].[O-][S](=O)(=O)c1cccc(c1)[S]([O-])(=O)=O
269,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC
270,CCCCCCOC
271,[O-][N+](=O)c1cc(ccc1Cl)C(F)(F)F
272,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
273,CC(C)c1ccc(cc1)C(C)CC=O
274,CC1CC(=CC(C)C1CO)C
275,CC/C(C)=C/CCC(C)(O)C=C
276,O=C(OCC1CO1)c2ccc(C(=O)OCC3CO3)c(c2)C(=O)OCC4CO4
277,CC1CC(C)(CO1)c2ccccc2
278,CCCCC(CC)C(=O)OCC
279,Oc1cccc2cccnc12
280,[Na+].[Na+].[Na+].CCN(c1cccc(c1)[S](=O)(=O)CCO[S]([O-])(=O)=O)c2nc(Cl)nc(Nc3ccc4C(=O)C(=N/Nc5ccc(OC)cc5[S]([O-])(=O)=O)\C(=Cc4c3)[S]([O-])(=O)=O)n2
281,[OH-].[OH-].[Zn++]
282,CCOc1ccccc1OCC
283,C\C=C\C
284,OCC(O)C(O)C(O)CO
285,CC(=C)C=C
286,CCCCCCCC/C=C/CCCCCCCCNCCCNCCCNCCCN
287,CC(C)CCCC(C)CCO
288,[Na+].[Na+].CCN1C(=C(N=Nc2ccc(cc2)[S](=O)(=O)c3ccc(cc3)N=NC4=C(O)N(CC)C(=O)C(=C4C)C[S]([O-])(=O)=O)C(=C(C[S]([O-])(=O)=O)C1=O)C)O
289,CC(=O)c1ccccc1
290,CCCCCC(O)C(/C)=C/CC
291,CCCCOC(=O)CCC
292,OC(=O)c1ccccc1C(O)=O
293,O=CC1CCC2C3CCC(C3)C12
294,CC(C)c1ccccc1C(C)C.OO
295,Cc1cccc(C)c1O
296,[Re]
297,CCC(O)c1ccccc1
298,CC(=O)c1cccc(c1)C(F)(F)F
299,Nc1ccc(Cl)cc1Cl
300,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C
301,NN[S](=O)(=O)c1ccc(Oc2ccc(cc2)[S](=O)(=O)NN)cc1
302,[Sr++].[O-][P]([O-])([O-])=O
303,CC/C=C/CC/C=C/C=C
304,OC\C=C/CO
305,CCOCCOCCOCCOC(=O)C(C)=C
306,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O
307,CCCCCCCCCC(O)=O
308,CC(C)C
309,CCCC
310,CC
311,CC1(C)C2CC=C(CCC=O)C1C2
312,OC(=O)Cc1ccc(O)cc1
313,COc1ccc(COC(C)=O)cc1
314,[H+].[NH4+].[F-].[F-]
315,Nc1nc(N)nc(n1)c2ccccc2
316,CC(C)(C)C1CCC(CC1)OC(=O)C=C
317,Brc1ccc(Br)c(C=C)c1
318,Cc1ccccc1NC(=O)c2cc3ccccc3cc2O
319,COC(=O)c1nc(Cl)c(Cl)nc1N
320,O1[Pb]O[Pb]2O[Pb]1O2
321,CCCCCCCC\C=C/CCCCCCCC(=O)N(CCCC)CCCC
322,CC(=C)C(=O)OC1CC2CCC1(C)C2(C)C
323,CCCCCCCCCOC(C)=O
324,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC.CCCCCCCCCCCC(CC)CCCCCCC(CC)CCCCCCC.CCC1CCC(CC)CC1.Cc2cccc(C)c2.C3CCC4CC5CCCCC5CC4C3.c6ccc7ccccc7c6.c8ccc9cc%10ccccc%10cc9c8
325,CCCCCCCCCCCCCC.CCc1ccccc1.c2ccccc2.c3ccc4ccccc4c3.c5ccc6cc7ccccc7cc6c5
326,c1ccc2ccccc2c1
327,Oc1ccccc1C(=O)OC2CCCCC2
328,CC(=C)[C@@H]1CCC(=CC1)C
329,CC\C=C/CCOC(=O)C\C=C/CC
330,CC[C@]12CC[C@H]3[C@@H](CCC4=C3CC=C(C4)OC)[C@@H]1CC[C@@H]2O
331,CCCCCCCCCCCC(=O)OCC(O)CO
332,COc1ccc(c(O)c1)C(=O)c2ccccc2
333,CC1CCC2C(C)(C)C3CC12CC(=C3C)C(C)=O
334,CCOC(=O)c1ccccc1
335,OC(=O)CCc1ccccc1
336,CC(C)=CCC\C(C)=C\C=O
337,CCCCCCC1CCCC1=O
338,CC(C)C(=O)C(C)(C)CC=C(C)C
339,Oc1ccc(C=C)cc1C=C
340,Nc1ccc(Cl)cc1O
341,CCOc1ccc(cc1)C(O)=O
342,[OH-].[OH-].[Pb++].[Pb++].[Pb++].[O-]C([O-])=O.[O-]C([O-])=O
343,Nc1c(Cl)cc(cc1Cl)C(F)(F)F
344,CNCCCN1c2ccccc2CCc3ccccc13
345,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2ccnc2
346,CCCCCCCCC(O)CO
347,CCC(C)C1CCCCC1=O
348,COc1cc(C=O)ccc1OC(=O)C(C)C
349,Cc1ccccc1
350,[Sr++].Cc1cc(N\N=C/2C(=O)C(=Cc3ccccc23)C([O-])=O)c(cc1Cl)[S]([O-])(=O)=O
351,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2O
352,CCc1ccc(CC(C)(C)C#N)cc1
353,ClCCCCCCCl
354,CCC(=O)OC1C=CC2C3CCC(C3)C12
355,CCOc1ccccc1
356,CN1C(=O)N(C(=O)C=C1C(F)(F)F)c2ccc(Cl)c(c2)C(=O)OC(C)(C)C(=O)OCC=C
357,[Fe+3].Cc1ccc(cc1)[S]([O-])(=O)=O.Cc2ccc(cc2)[S]([O-])(=O)=O.Cc3ccc(cc3)[S]([O-])(=O)=O
358,C=CCOC(=O)COc1ccccc1
359,[NH4+].[I-]
360,OC(=O)CCCCC(O)=O.C1CNCCN1
361,CN[S](=O)(=O)c1cc(OC)c(N)cc1OC
362,NC(N)=O.O[P](O)(O)=O
363,NC(N)=O
364,O=C1Nc2ccccc2N1
365,[Fe].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+]
366,CC(CCOC(=O)C=C)CCOC(=O)C=C
367,Nc1cccc(Cl)c1
368,CC(=O)OC1CCC2CCCCC2C1
369,CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O
370,C1CC=CC1
371,OC(=O)CC(C[P]1(=O)Oc2ccccc2c3ccccc13)C(O)=O
372,C.O[S](O)(=O)=O
373,FC(F)(F)C(F)(F)F
374,CC(C)=CCC\C(C)=C/CCC=O
375,CC(=C)C(=O)Oc1ccccc1
376,[Co++].CC([O-])=CC(C)=O.CC([O-])=CC(C)=O
377,CC1=C(C=O)C(C)(C)CC=C1
378,CN(C)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
