,selfies,Solubility
14,[C][C][Branch1][=C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Branch1][C][O][=O],-2.4660307863
15,[Zn+2].[C][C][C][C][C][Branch1][Ring1][C][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][C][Branch1][C][C][C].[C][C][C][C][C][Branch1][Ring1][C][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][C][Branch1][C][C][C],-2.9581950472000003
16,[C][C][C][Branch1][C][C][Branch1][Branch2][C][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O][C][C][C][O][Ring1][Ring1],-3.5134687407
17,[C][C][Branch1][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][S],-4.4543816995
18,[C][C][Branch1][C][C][=C][C][C][C][=Branch1][Branch1][=C][C][Ring1][=Branch1][C],-4.2873429345
19,[Na+1].[Al+3].[O-1][Si][Branch1][C][O-1][=O].[O-1][Si][Branch1][C][O-1][=O],-3.4731390517
20,[Zn+2].[C][C][=Branch1][C][=C][C][Branch1][C][O-1][=O],-2.3632080977000003
21,[C][C][N][C][C][Branch1][C][O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],-3.4541026398000003
22,[Zn+2].[C][C][C][Branch1][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][Branch1][C][C][C][C][Branch1][C][C][C].[C][C][C][Branch1][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][Branch1][C][C][C][C][Branch1][C][C][C],-2.9908768679000004
23,[Cl][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],-3.5129421932
24,[C][C][Branch1][C][C][C][C][C][C][=Branch1][C][=C][C][Ring1][Branch2][C][Ring1][#Branch1],-4.2923134549
25,[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][Branch1][C][O][=O].[N][C][C][N][C][C][O],-4.8091341894
26,[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][O],-4.6341446203
27,[N][O],-0.763033718
28,[C][=C][C][=Branch1][C][=O][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.5636257131
29,[C][C][C][C][N+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1].[O][C][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],-2.6418192727000003
30,[O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][=C],-3.5528261451999996
31,[C][C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch1][N][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1],-4.7932278922
32,[C][C][Branch1][C][C][C][C][C][C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],-4.587250024599999
33,[C][C][=Branch1][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][C][=C],-4.4511392251999995
34,[Mo],-4.2038484637
35,[C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][=C],-4.581332510899999
36,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],-4.4720217682
37,[O][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1],-1.4450319409999999
38,[Na+1].[Na+1].[Na+1].[Na+1].[Na+1].[O-1][SH0][=Branch1][C][=O][=Branch1][C][=O][O][C][C][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch2][#Branch1][S][N][C][=N][C][Branch1][C][Cl][=N][C][Branch2][=Branch1][S][N][C][=C][C][=Branch2][Branch1][P][=C][C][C][=C][Branch2][Branch1][C][\C][=Branch2][Ring2][Ring1][=N][/N][C][=C][C][=C][C][Branch1][#C][C][=C][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=C][Ring1][=C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=Branch1][C][=O][C][Ring2][Ring1][#C][=Ring2][Ring1][O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=N][Ring2][Ring2][#C][=C][Ring2][Branch1][=Branch1],-0.4108977358
39,[C][Branch1][S][C][C][C][N][=C][\C][=C][\C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][=C][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1],-3.8937390711
40,[C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch2][Ring2][=N][C][C][=C][C][=Branch2][Ring1][=Branch1][=C][C][Branch1][=C][N][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=Branch2][=C][Ring1][#C][O][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][Branch1][C][O][C][=Branch1][Branch1][=C][Ring2][Ring1][S][N][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=Branch2],-7.973715535399999
41,[Cl-1].[C][C][N][Branch1][O][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N+1][Branch1][C][O-1][=O],-3.0386996230000003
42,[C][C][N][Branch1][=Branch1][C][C][O][Ring1][=Branch1][S][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2],-3.8109627954
43,[C][C][Branch1][C][C][C@H1][C][C@@H1][O][C@][Ring1][Ring1][Branch1][C][C][C@@H1][Ring1][=Branch2][C][Ring1][Branch2],-2.5936884915
44,[Na+1].[Na+1].[Na+1].[Na+1].[N][C][=Branch1][C][=O][N][C][=C][C][Branch2][Ring2][=C][N][C][=N][C][Branch1][C][Cl][=N][C][Branch2][Ring1][=C][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][SH0][=Branch1][C][=O][=Branch1][C][=O][C][C][O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=N][Ring2][Ring1][Branch2][=C][C][=C][Ring2][Ring1][#C][N][=N][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=C][Branch1][=N][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][Ring2][Ring1][C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],-0.4261364852
45,[Na+1].[Na+1].[C][C][C][C][C][C][C][C][C][C][C][C][N][C][=N][C][Branch1][C][Cl][=N][C][Branch2][=Branch1][C][N][C][=C][C][=C][C][Branch1][C][O][=C][Branch2][Ring1][P][N][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=Branch1][#Branch2][=C][C][Ring2][Ring1][O][=C][Ring2][Ring1][#C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][=N][Ring2][Ring2][O],-3.3589112119999998
46,[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][S][C][C],-2.7031744039
47,[C][C][C][Branch1][=C][C][C][C][Ring1][=Branch1][C][O][C][C][C][O][Ring1][Ring1][C][O][C][C][C][O][Ring1][Ring1],-1.8357972344
48,[C][C][Branch1][P][C][C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][N][Ring1][#Branch1][O][C][C][C][Branch1][C][C][Branch1][C][C][C].[N][C][C][O],-3.9054642035000002
49,[OH1-1].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[O-1][PH0][Branch1][C][O-1][Branch1][C][O-1][=O].[O-1][PH0][Branch1][C][O-1][Branch1][C][O-1][=O].[O-1][PH0][Branch1][C][O-1][Branch1][C][O-1][=O],-4.1419008964
50,[O][=P+1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],-1.7796231349
51,[C][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.6229591952
52,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],-3.7398163758
53,[C][C][=C][C][=C][C][Branch1][O][C][C][Branch1][C][C][Branch1][C][C][C][O][=C][Ring1][N],-2.8265354685000004
54,[C][C][=Branch1][C][=O][O][C][\C][=C][Branch1][C][C][/C][C][C][=C][Branch1][C][C][C],-3.7549532157
55,[C][C][Branch1][C][C][C@H1][C][C][=C][Branch1][Ring2][C][C][O][C@@H1][Ring1][#Branch2][C][Ring1][=Branch2],-2.6959998037
56,[C][C][C][C][=Branch1][C][=O][C][C][Branch1][C][C][Branch1][C][C][C][Ring1][=Branch2],-1.6471414631999999
57,[C][=C][C][=Branch1][C][=O][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.9515188418
58,[S][C][C][C][=Branch1][C][=O][O][C][C][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][C][O][C][=Branch1][C][=O][C][C][S],-5.1231687481
59,[C][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][C][C][=C][Ring1][#Branch1][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],-4.952868802799999
60,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch2][Ring1][Branch2][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],-5.4730005799
61,[C][C][O][C][=Branch1][C][=O][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C],-3.8230431676
62,[Ca+2].[O-1][Si][Branch1][C][O-1][=O],-2.6500869941
63,[C][C][C][=C][C][=C][Branch1][C][C][N][=C][Ring1][#Branch1],-1.0042604536
64,[C][C][Branch1][C][C][C@@H1][C][C][C@@H1][Branch1][C][C][C][C@H1][Ring1][#Branch1][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][O],-2.9799872046
65,[C][C@][C][C@H1][Branch1][C][O][C@H1][C@@H1][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][O][Ring1][#Branch1][C][C@@H1][Ring1][P][C][C][C@][Ring2][Ring1][Ring2][Branch1][C][O][C][=Branch1][C][=O][C][O],-3.1784471289
66,[Na+1].[Na+1].[C][C][=C][C][=C][Branch2][Branch1][Ring2][N][C][=C][C][=C][Branch2][Ring1][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring2][Ring1][N][=Ring1][N][C][=Branch1][Branch1][=C][Ring2][Ring2][Ring1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],-1.4270312571000001
67,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Mo].[Mo],-4.2291529922
68,[C][C][=Branch1][C][=C][C][=Branch1][C][=O][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.9526471698
69,[C][C][C][C][O][C][C][O][C][C][O][C][C][=C][C][O][C][O][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][C][C][C],-4.1510889183
70,[C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.9885265275
71,[C][C][C][=C][C][Branch2][Ring1][=Branch1][C][C][=C][C][Branch1][Ring1][C][C][=C][Branch1][C][N][C][Branch1][Ring1][C][C][=C][Ring1][O][Cl][=C][Branch1][C][Cl][C][Branch1][Ring1][C][C][=C][Ring2][Ring1][=Branch1][N],-7.2780387128
72,[Na+1].[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring2][#Branch2][N][C][=C][C][=Branch2][Ring1][O][=C][Branch1][C][N][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring1][P][=Ring1][N][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][Branch1][C][C][=C][Ring2][Ring1][=C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.4396051212999998
73,[C][C][C][C][Branch1][Ring2][C][C][C][C][Branch1][C][O][=O],-1.8579774272
74,[Zn+2].[S-1][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2].[S-1][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2],-4.285895804
75,[O][C][=C][C][=C][C][=C][Ring1][=Branch1].[Cl][C][C][C][O][Ring1][Ring1].[C][=O],-4.0347567611
76,[C][C][C][C][C][C][/C][=C][/C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O],-4.0217535151999995
77,[C][C][=Branch1][C][=C][C][Branch1][C][O][=O].[C][C][Branch1][C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1].[Cl][C][C][C][O][Ring1][Ring1],-5.229282852
78,[C][C][=C][C][C@H1][C][C@@H1][Ring1][=Branch1][C][Ring1][Ring2][Branch1][C][C][C],-4.7725704235
79,[C][Si][Branch1][C][C][Branch1][C][C][O][Si][Branch1][C][C][Branch1][C][C][C],-4.909505216
80,[O][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2],-1.8860303607
81,[C][C][=Branch1][C][=C][C][C][C][C][=Branch1][Branch1][=C][C][Ring1][=Branch1][C],-3.8464965295
82,[Na+1].[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][=Branch1][=Branch2][C+1][Branch2][Ring2][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][Ring1][C][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][Ring1][C][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][Branch1][C][C][=C][Ring2][Ring2][S],-0.6229779303
83,[S][=W][=S],-4.1391336425
84,[Na+1].[Na+1].[C][C][=N][N][Branch2][=Branch1][=Branch2][C][=Branch1][C][=O][C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch2][Ring2][#Branch2][C][=C][C][=C][Branch1][=N][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][N][=N][C][C][=Branch1][P][=N][N][Branch1][Branch1][C][Ring1][Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][Branch1][=C][Ring2][Ring1][#C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.642781181
85,[C][C][=Branch1][C][=O][O][C@H1][C][C@H1][C][C][C@@][Ring1][=Branch1][Branch1][C][C][C][Ring1][=Branch1][Branch1][C][C][C],-3.0887781924
86,[Pb+2].[O-1][Si][Branch1][C][O-1][=O],-6.6197116003
87,[C][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-4.1359426126
88,[Na+1].[Na+1].[O-1][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][=N][N][\N][=C][C][=C][C][=Branch1][C][=O][C][=Branch2][Ring1][O][=N][/N][C][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][\C][\-Ring2][Ring1][#Branch1][=O][C][=C][C][=C][C][=C][Ring2][Ring2][Ring2][Ring1][=Branch1],-2.6038411441
89,[C][C][C][O][C][C][Branch1][C][C][O][C][C][Branch1][C][C][O],-0.0700526508
90,[C][C][Branch1][C][C][C][C][Branch1][#C][C][C][Branch1][C][C][Branch1][Branch1][C][N][=C][=O][C][Ring1][N][N][=C][=O],-4.1708247593
91,[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][Branch1][C][O][=O].[N][C][C][N][C][C][N],-4.4100874366000005
92,[C][C][N][Branch1][O][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N+1][Branch1][C][O-1][=O].[C][C][Branch1][C][O-1][=O],-1.5218900849
93,[O][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-4.2169166627
94,[C][C][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][O][C][=C],-4.1519109764
95,[C][C][=Branch1][C][=C][C][=Branch1][C][=O][N][C][N][C][=Branch1][C][=O][C][Branch1][C][C][=C],-1.1892367555
96,[C][C][\C][=C][/C][C][\C][=C][\-Ring1][Branch2],-2.9659771732999998
97,[C][O][Si][Branch1][#Branch1][C][C][C][N][=C][=O][Branch1][Ring1][O][C][O][C],-3.2569810012000002
98,[C][C][O][Si][Branch1][Branch1][C][C][C][Cl][Branch1][Ring2][O][C][C][O][C][C],-3.3285834497000004
99,[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C][C],-4.3876832538
100,[Na+1].[Na+1].[C][C][=C][C][Branch1][C][C][=C][Branch2][Branch1][P][C][Branch1][C][C][=C][Ring1][Branch2][N][C][=C][C][=C][Branch2][Ring1][O][N][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=Branch1][Branch1][=C][Ring1][Branch2][C][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring2][Ring1][=C][=Ring1][N][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],-1.7922611704
101,[O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][O][=C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.3451078238
102,[C][C][C][C][C][C][C][C][C][\C][=C][\C][C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O],-4.4255032449
103,[C][C][Branch1][C][C][C][C][Branch1][C][C][C][C][Branch1][C][C][\C][=C][Branch1][C][/C][C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O],-4.4255032449
104,[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][O][C][O][B][Branch1][C][O][O].[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][O][C][O][B][Branch1][C][O][O][C][C][Branch1][C][O][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C].[C][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][O][C][O][B][Branch2][Ring1][=C][O][C][C][Branch1][C][O][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C][O][C][C][Branch1][C][O][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][\C][=C][/C][C][C][C][C][C][C][C],-5.345705158
105,[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O],-5.4245475497000015
106,[C][C][O][Si][Branch2][Ring1][#Branch1][C][C][C][S][S][C][C][C][Si][Branch1][Ring2][O][C][C][Branch1][Ring2][O][C][C][O][C][C][Branch1][Ring2][O][C][C][O][C][C],-5.6765418086000015
107,[C][O][C][=C][C][=C][Branch1][#C][\C][=C][\C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][C][C][=C][Ring1][S],-5.4919252104
108,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][=O],-5.593122621900001
109,[C][C][\C][=C][/C][C][\C][=C][/C][C][/C][=C][\-Ring1][N],-5.3651562541
110,[C][C][Branch2][Branch1][P][C][C][N][Branch1][S][C][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=S][S][Zn][S][C][=Branch1][C][=S][N][Branch1][S][C][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C],-6.1025269393
111,[Br][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N],-6.6566491092
112,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][C][Branch1][C][C][C][Ring1][#Branch2].[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][C][Branch1][C][C][C][Ring1][#Branch2],-6.214524895199999
113,[C][C][C][C][C][Branch1][Ring1][C][C][C][N][C][=Branch1][C][=O][C][C][C][C][C][C][Branch1][C][C][C],-5.731545252999999
114,[C][O][C@H1][C][C@@H1][Branch1][#Branch2][O][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][O][O][C][C@H1][Branch1][C][C][O][C@H1][Branch1][#Branch1][C][C@@H1][Ring1][#Branch1][O][C][O][C][C@@H1][Branch1][C][C][/C][=C][/C][=C][C][O][C@@H1][C@H1][Branch1][C][O][C][=Branch2][Branch1][#Branch2][=C][C@@H1][Branch2][Ring2][=N][C][=Branch1][C][=O][O][C@H1][C][C@@H1][Branch1][Branch2][C][\C][=C][Ring2][Ring1][Branch2][/C][O][C@@][Branch1][Ring2][C][Ring1][#Branch2][O][C@@H1][Branch1][=Branch2][C@@H1][Branch1][C][C][C][=C][Ring1][Branch2][C][C][C][C][C][C][Ring1][=Branch1][C@][/-Ring2][Ring2][Ring1][Ring2][Ring1][S][O][C],-7.5558815137
115,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-6.183335848
116,[C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=C][C][Ring1][=N][=C][Ring1][O][Ring1][#Branch1],-6.1787966156
117,[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C][C],-6.40319542
118,[C][C][C][Branch1][Ring1][C][C][C][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][#N],-6.5873382321000005
