,smiles,carbons,nitrogens,oxygens,hydrogens
187,CC1=CC=CN1,5,1,0,7
188,CC1=CC=CO1,5,0,1,6
189,CC1=CN=CO1,4,1,1,5
190,CC1=NC=CO1,4,1,1,5
191,NC1=CC=CN1,4,2,0,6
192,NC1=CC=CO1,4,1,1,5
193,NC1=CN=CO1,3,2,1,4
194,NC1=NC=CO1,3,2,1,4
195,OC1=CC=CN1,4,1,1,5
196,OC1=CN=CN1,3,2,1,4
197,OC1=NC=CN1,3,2,1,4
198,CC1=CNC=C1,5,1,0,7
199,CC1=CNC=N1,4,2,0,6
200,CC1=COC=C1,5,0,1,6
201,CC1=COC=N1,4,1,1,5
202,NC1=CNC=C1,4,2,0,6
203,NC1=CNC=N1,3,3,0,5
204,NC1=COC=C1,4,1,1,5
205,NC1=COC=N1,3,2,1,4
206,OC1=CNC=C1,4,1,1,5
207,OC1=CNC=N1,3,2,1,4
208,OC1=COC=N1,3,1,2,3
209,CN1C=CC=C1,5,1,0,7
210,CN1C=CN=C1,4,2,0,6
211,C1=CC=CC=C1,6,0,0,6
212,C1=CC=NC=C1,5,1,0,5
213,C1=CN=CC=N1,4,2,0,4
214,C1=CN=CN=C1,4,2,0,4
215,C1=NC=NC=N1,3,3,0,3
216,CC(C)(C)C#C,6,0,0,10
217,CC(C)(C)C#N,5,1,0,9
218,CC(C)(N)C#N,4,2,0,8
219,CC(C)(O)C#C,5,0,1,8
220,CC(C)(O)C#N,4,1,1,7
221,CC(C)(C)C=O,5,0,1,10
222,CC(C)(O)C=O,4,0,2,8
223,CC(C)(C)CO,5,0,1,12
224,CC(C)(O)CO,4,0,2,10
225,CCC(C)(C)C,6,0,0,14
226,CCC(C)(C)O,5,0,1,12
227,COC(C)(C)C,5,0,1,12
228,CC#CC(C)=O,5,0,1,6
229,CC#CC(N)=O,4,1,1,5
230,CC#CC(C)C,6,0,0,10
231,CC#CC(C)O,5,0,1,8
232,CC(=O)CC#C,5,0,1,6
233,CC(=O)CC#N,4,1,1,5
234,NC(=O)CC#C,4,1,1,5
235,NC(=O)CC#N,3,2,1,4
236,CC(=N)NC=O,3,2,1,6
237,CC(=N)OC=O,3,1,2,5
238,CC(=O)CC=O,4,0,2,6
239,CC(=O)NC=N,3,2,1,6
240,CC(=O)NC=O,3,1,2,5
241,CC(=O)OC=N,3,1,2,5
242,NC(=N)NC=O,2,3,1,5
243,NC(=O)CC=O,3,1,2,5
244,NC(=O)NC=N,2,3,1,5
245,NC(=O)NC=O,2,2,2,4
246,NC(=O)OC=N,2,2,2,4
247,CC(C)CC#C,6,0,0,10
248,CC(C)CC#N,5,1,0,9
249,CC(O)CC#C,5,0,1,8
250,CC(O)CC#N,4,1,1,7
251,CN(C)CC#N,4,2,0,8
252,CC(C)CC=O,5,0,1,10
253,CC(C)NC=O,4,1,1,9
254,CC(C)OC=O,4,0,2,8
255,CC(O)CC=O,4,0,2,8
256,CN(C)CC=O,4,1,1,9
257,CC(=O)CCO,4,0,2,8
258,CCCC(C)=O,5,0,1,10
259,CCCC(N)=O,4,1,1,9
260,CCNC(C)=O,4,1,1,9
261,CCNC(N)=O,3,2,1,8
262,CCOC(C)=O,4,0,2,8
263,CCOC(N)=O,3,1,2,7
264,COCC(C)=O,4,0,2,8
265,COCC(N)=O,3,1,2,7
266,NC(=O)CCO,3,1,2,7
267,CC(C)CCO,5,0,1,12
268,CC(O)CCO,4,0,2,10
269,CCCC(C)C,6,0,0,14
270,CCCC(C)O,5,0,1,12
271,CCOC(C)C,5,0,1,12
272,COCC(C)C,5,0,1,12
273,COCC(C)O,4,0,2,10
274,CC(=O)C(C)=O,4,0,2,6
275,CC(=O)C(N)=N,3,2,1,6
276,CC(=O)C(N)=O,3,1,2,5
277,NC(=O)C(N)=O,2,2,2,4
278,CC(C)C(C)=O,5,0,1,10
279,CC(C)C(N)=O,4,1,1,9
280,CC(O)C(C)=O,4,0,2,8
281,CC(O)C(N)=O,3,1,2,7
282,CN(C)C(C)=O,4,1,1,9
283,CN(C)C(N)=O,3,2,1,8
284,CC(C)C(C)C,6,0,0,14
285,CC(C)C(C)O,5,0,1,12
286,CC(O)C(C)O,4,0,2,10
287,CC1(C)CCC1,6,0,0,12
288,CC1(C)CCO1,5,0,1,10
289,CC1(C)COC1,5,0,1,10
290,CC1(O)CCC1,5,0,1,10
291,CC1(O)COC1,4,0,2,8
292,CC1(C)CC1O,5,0,1,10
293,CC1(O)CC1O,4,0,2,8
294,CC1CC1(C)C,6,0,0,12
295,CC1CC1(C)O,5,0,1,10
296,CC1OC1(C)C,5,0,1,10
297,CN1CC1(C)C,5,1,0,11
298,CC1CC(=N)O1,4,1,1,7
299,CC1CC(=O)C1,5,0,1,8
300,CC1CC(=O)N1,4,1,1,7
301,CC1CC(=O)O1,4,0,2,6
302,CN1CC(=O)C1,4,1,1,7
303,OC1CC(=O)C1,4,0,2,6
304,CC1CC(C)C1,6,0,0,12
305,CC1CC(C)O1,5,0,1,10
306,CC1CC(O)C1,5,0,1,10
307,CN1CC(O)C1,4,1,1,9
308,OC1CC(O)C1,4,0,2,8
309,CC12CC(C1)C2,6,0,0,10
310,CC12CC(C1)O2,5,0,1,8
311,CC12CN(C1)C2,5,1,0,9
312,OC12CC(C1)C2,5,0,1,8
313,OC12CN(C1)C2,4,1,1,7
314,O=C(C#C)C#C,5,0,1,2
315,O=C(C#C)C#N,4,1,1,1
316,O=C(C#N)C#N,3,2,1,0
317,O=CC(=O)C#C,4,0,2,2
318,O=CC(=O)C#N,3,1,2,1
319,O=CC(=O)C=O,3,0,3,2
320,CC(C#C)C#C,6,0,0,6
321,CC(C#C)C#N,5,1,0,5
322,CC(C#N)C#N,4,2,0,4
323,NC(C#C)C#N,4,2,0,4
324,NC(C#N)C#N,3,3,0,3
325,OC(C#C)C#C,5,0,1,4
326,OC(C#C)C#N,4,1,1,3
327,OC(C#N)C#N,3,2,1,2
328,CC(C=O)C#C,5,0,1,6
329,CC(C=O)C#N,4,1,1,5
330,OC(C=O)C#C,4,0,2,4
331,OC(C=O)C#N,3,1,2,3
332,CC(C=O)C=O,4,0,2,6
333,CN(C=N)C=O,3,2,1,6
334,CN(C=O)C=O,3,1,2,5
335,OC(C=O)C=O,3,0,3,4
336,CN=C(N)C#N,3,3,0,5
337,CN=C(N)C=O,3,2,1,6
338,CCC(=O)C#C,5,0,1,6
339,CCC(=O)C#N,4,1,1,5
340,CNC(=N)C#N,3,3,0,5
341,CNC(=O)C#C,4,1,1,5
342,COC(=O)C#C,4,0,2,4
343,COC(=O)C#N,3,1,2,3
344,OCC(=O)C#C,4,0,2,4
345,OCC(=O)C#N,3,1,2,3
346,CCC(=O)C=O,4,0,2,6
347,CNC(=N)C=O,3,2,1,6
348,CNC(=O)C=O,3,1,2,5
349,COC(=O)C=O,3,0,3,4
350,OCC(=O)C=O,3,0,3,4
351,CCC(=O)CC,5,0,1,10
352,CCC(=O)CO,4,0,2,8
353,CCC(=O)NC,4,1,1,9
354,CCC(=O)OC,4,0,2,8
355,CNC(=O)CO,3,1,2,7
356,CNC(=O)NC,3,2,1,8
357,CNC(=O)OC,3,1,2,7
358,COC(=O)CN,3,1,2,7
359,COC(=O)CO,3,0,3,6
360,OCC(=O)CO,3,0,3,6
361,COC(C)=NC,4,1,1,9
362,CC(CO)C#C,5,0,1,8
363,CC(CO)C#N,4,1,1,7
364,CCC(C)C#C,6,0,0,10
365,CCC(C)C#N,5,1,0,9
366,CCC(N)C#N,4,2,0,8
367,CCC(O)C#C,5,0,1,8
368,CCC(O)C#N,4,1,1,7
369,CNC(C)C#N,4,2,0,8
370,COC(C)C#C,5,0,1,8
371,COC(C)C#N,4,1,1,7
372,NC(CO)C#N,3,2,1,6
373,NCC(N)C#N,3,3,0,7
374,NCC(O)C#N,3,2,1,6
375,OCC(O)C#C,4,0,2,6
376,OCC(O)C#N,3,1,2,5
377,CC(CO)C=O,4,0,2,8
378,CCC(C)C=O,5,0,1,10
379,CCC(O)C=O,4,0,2,8
380,CCN(C)C=O,4,1,1,9
381,COC(C)C=O,4,0,2,8
382,OCC(O)C=O,3,0,3,6
383,CC(CO)CO,4,0,2,10
384,CCC(C)CC,6,0,0,14
385,CCC(C)CO,5,0,1,12
386,CCC(C)OC,5,0,1,12
387,CCC(O)CC,5,0,1,12
388,CCC(O)CO,4,0,2,10
389,COC(C)CO,4,0,2,10
390,OCC(O)CO,3,0,3,8
391,CC1(CC1)C#C,6,0,0,8
392,CC1(CC1)C#N,5,1,0,7
393,CC1(CN1)C#C,5,1,0,7
394,CC1(CN1)C#N,4,2,0,6
395,CC1(CO1)C#C,5,0,1,6
396,CC1(CO1)C#N,4,1,1,5
397,NC1(CC1)C#N,4,2,0,6
398,OC1(CC1)C#C,5,0,1,6
399,OC1(CC1)C#N,4,1,1,5
400,CC1(CC1)C=O,5,0,1,8
401,CC1(CN1)C=O,4,1,1,7
402,CC1(CO1)C=O,4,0,2,6
403,OC1(CC1)C=O,4,0,2,6
404,CC1(CO)CC1,5,0,1,10
405,CC1(CO)CN1,4,1,1,9
406,CC1(CO)CO1,4,0,2,8
407,CCC1(C)CC1,6,0,0,12
408,CCC1(C)CO1,5,0,1,10
409,CCC1(O)CC1,5,0,1,10
410,COC1(C)CC1,5,0,1,10
411,OCC1(O)CC1,4,0,2,8
412,CC1CCC1=O,5,0,1,8
413,CC1CNC1=O,4,1,1,7
414,CC1COC1=N,4,1,1,7
415,CC1COC1=O,4,0,2,6
416,CC1NCC1=O,4,1,1,7
417,CC1OCC1=O,4,0,2,6
418,CN1CCC1=O,4,1,1,7
419,NC1COC1=N,3,2,1,6
420,NC1COC1=O,3,1,2,5
421,OC1CCC1=O,4,0,2,6
422,OC1CNC1=O,3,1,2,5
423,OC1COC1=N,3,1,2,5
424,OC1COC1=O,3,0,3,4
425,CC1CCC1C,6,0,0,12
426,CC1CCC1O,5,0,1,10
427,CC1COC1C,5,0,1,10
428,CC1OCC1O,4,0,2,8
429,OC1CCC1O,4,0,2,8
430,N=C1CN=CN1,3,3,0,5
431,O=C1CC=CC1,5,0,1,6
432,O=C1CC=CN1,4,1,1,5
433,O=C1CN=CN1,3,2,1,4
434,O=C1CN=CO1,3,1,2,3
435,N=C1OCC=C1,4,1,1,5
436,O=C1CCC=C1,5,0,1,6
437,O=C1NCC=C1,4,1,1,5
438,N=C1CCCO1,4,1,1,7
439,N=C1COCO1,3,1,2,5
440,N=C1OCCO1,3,1,2,5
441,O=C1CCCC1,5,0,1,8
442,O=C1CCCN1,4,1,1,7
443,O=C1CCCO1,4,0,2,6
444,O=C1CCOC1,4,0,2,6
445,O=C1COCO1,3,0,3,4
446,O=C1NCCN1,3,2,1,6
447,O=C1NCCO1,3,1,2,5
448,O=C1OCCO1,3,0,3,4
449,CC1=CCCC1,6,0,0,10
450,CC1=CCOC1,5,0,1,8
451,CC1=NCCO1,4,1,1,7
452,CC1CC=CC1,6,0,0,10
453,CC1CN=CO1,4,1,1,7
454,OC1CC=CC1,5,0,1,8
455,CC1CCC=C1,6,0,0,10
456,CC1COC=N1,4,1,1,7
457,CC1OCC=C1,5,0,1,8
458,OC1CCC=C1,5,0,1,8
459,CC1CCCC1,6,0,0,12
460,CC1CCCO1,5,0,1,10
461,CC1CCOC1,5,0,1,10
462,CC1COCO1,4,0,2,8
463,CC1OCCO1,4,0,2,8
464,OC1CCCC1,5,0,1,10
465,OC1CCOC1,4,0,2,8
466,CC1C(C)C1C,6,0,0,12
467,CC1C(C)C1O,5,0,1,10
468,CC1C(C)N1C,5,1,0,11
469,CC1C(O)C1O,4,0,2,8
470,OC1C(O)C1O,3,0,3,6
471,CC12CC1CC2,6,0,0,10
472,CC12CC1CO2,5,0,1,8
473,CC12CC1OC2,5,0,1,8
474,CC12CCC1O2,5,0,1,8
475,OC12CC1CC2,5,0,1,8
476,OC12CC1OC2,4,0,2,6
477,C#CC#CC#C,6,0,0,2
478,C#CC#CC#N,5,1,0,1
479,N#CC#CC#N,4,2,0,0
480,C#CCCC#C,6,0,0,6
481,C#CCCC#N,5,1,0,5
482,N#CCCC#N,4,2,0,4
483,O=CC#CC#C,5,0,1,2
484,O=CC#CC#N,4,1,1,1
485,O=CC#CC=O,4,0,2,2
486,N=COCC#C,4,1,1,5
487,N=COCC#N,3,2,1,4
488,O=CCCC#C,5,0,1,6
489,O=CCCC#N,4,1,1,5
490,O=CNCC#C,4,1,1,5
491,O=CNCC#N,3,2,1,4
492,O=COCC#C,4,0,2,4
493,O=COCC#N,3,1,2,3
494,N=COCC=O,3,1,2,5
495,O=CCCC=O,4,0,2,6
496,O=CCNC=O,3,1,2,5
497,O=CCOC=O,3,0,3,4
498,CC#CC#CC,6,0,0,6
499,CC#CCC#C,6,0,0,6
500,CC#CCC#N,5,1,0,5
501,CC#CCC=O,5,0,1,6
502,CN=CNC=O,3,2,1,6
503,CN=COC=O,3,1,2,5
504,CCC#CC#C,6,0,0,6
505,CCC#CC#N,5,1,0,5
506,OCC#CC#C,5,0,1,4
507,OCC#CC#N,4,1,1,3
508,CCC#CC=O,5,0,1,6
509,OCC#CC=O,4,0,2,4
510,CCC#CCC,6,0,0,10
511,CCC#CCO,5,0,1,8
512,OCC#CCO,4,0,2,6
513,CCN=COC,4,1,1,9
514,CC#CCCO,5,0,1,8
515,CCCC#CC,6,0,0,10
516,COCC#CC,5,0,1,8
517,CCOC=NC,4,1,1,9
518,CCCCC#C,6,0,0,10
519,CCCCC#N,5,1,0,9
520,CCNCC#N,4,2,0,8
521,CCOCC#C,5,0,1,8
522,CCOCC#N,4,1,1,7
523,COCCC#C,5,0,1,8
524,COCCC#N,4,1,1,7
525,OCCCC#C,5,0,1,8
526,OCCCC#N,4,1,1,7
527,CCCCC=O,5,0,1,10
528,CCCNC=O,4,1,1,9
529,CCCOC=O,4,0,2,8
530,CCOCC=O,4,0,2,8
531,COCCC=O,4,0,2,8
532,OCCCC=O,4,0,2,8
533,OCCNC=O,3,1,2,7
534,OCCOC=N,3,1,2,7
535,OCCOC=O,3,0,3,6
536,CCCCCC,6,0,0,14
537,CCCCCO,5,0,1,12
538,CCCCOC,5,0,1,12
539,CCCOCC,5,0,1,12
540,CCOCCO,4,0,2,10
541,COCCCO,4,0,2,10
542,COCCOC,4,0,2,10
543,OCCCCO,4,0,2,10
544,C#CC1CCC1,6,0,0,8
545,C#CC1CCO1,5,0,1,6
546,C#CC1COC1,5,0,1,6
547,N#CC1CCC1,5,1,0,7
548,N#CC1CCN1,4,2,0,6
549,N#CC1CCO1,4,1,1,5
550,N#CC1COC1,4,1,1,5
551,O=CC1CCC1,5,0,1,8
552,O=CC1CCO1,4,0,2,6
553,O=CC1COC1,4,0,2,6
554,O=CN1CCC1,4,1,1,7
555,CN=C1CCO1,4,1,1,7
556,CCC1CCC1,6,0,0,12
557,CCC1CCO1,5,0,1,10
558,CCC1COC1,5,0,1,10
559,COC1CCC1,5,0,1,10
560,COC1COC1,4,0,2,8
561,OCC1CCC1,5,0,1,10
562,OCC1CCO1,4,0,2,8
563,OCC1COC1,4,0,2,8
564,C#CCC1CC1,6,0,0,8
565,C#CCC1CO1,5,0,1,6
566,C#CCN1CC1,5,1,0,7
567,N#CCC1CC1,5,1,0,7
568,N#CCC1CN1,4,2,0,6
569,N#CCC1CO1,4,1,1,5
570,N#CCN1CC1,4,2,0,6
571,N=COC1CC1,4,1,1,7
572,O=CCC1CC1,5,0,1,8
573,O=CCC1CN1,4,1,1,7
574,O=CCC1CO1,4,0,2,6
575,O=CCN1CC1,4,1,1,7
576,O=CNC1CC1,4,1,1,7
577,O=COC1CC1,4,0,2,6
578,CC#CC1CC1,6,0,0,8
579,CC#CC1CN1,5,1,0,7
580,CC#CC1CO1,5,0,1,6
581,CCCC1CC1,6,0,0,12
582,CCCC1CO1,5,0,1,10
583,CCCN1CC1,5,1,0,11
584,CCOC1CC1,5,0,1,10
585,COCC1CC1,5,0,1,10
586,COCC1CN1,4,1,1,9
587,COCC1CO1,4,0,2,8
588,OCCC1CC1,5,0,1,10
589,OCCC1CO1,4,0,2,8
590,OCCN1CC1,4,1,1,9
591,CC1CC1C#C,6,0,0,8
592,CC1CC1C#N,5,1,0,7
593,CC1NC1C#C,5,1,0,7
594,CC1NC1C#N,4,2,0,6
595,CC1OC1C#C,5,0,1,6
596,CC1OC1C#N,4,1,1,5
597,CN1CC1C#C,5,1,0,7
598,CN1CC1C#N,4,2,0,6
599,OC1CC1C#C,5,0,1,6
600,OC1CC1C#N,4,1,1,5
601,CC1CC1C=O,5,0,1,8
602,CC1CN1C=O,4,1,1,7
603,CC1NC1C=O,4,1,1,7
604,CC1OC1C=O,4,0,2,6
605,CN1CC1C=O,4,1,1,7
606,OC1CC1C=O,4,0,2,6
607,CC1CC1CO,5,0,1,10
608,CC1NC1CO,4,1,1,9
609,CC1OC1CO,4,0,2,8
610,CCC1CC1C,6,0,0,12
611,CCC1CC1O,5,0,1,10
612,CCC1CN1C,5,1,0,11
613,CCC1OC1C,5,0,1,10
614,CCN1CC1C,5,1,0,11
615,CN1CC1CO,4,1,1,9
616,COC1CC1C,5,0,1,10
617,COC1CC1O,4,0,2,8
618,OCC1CC1O,4,0,2,8
619,CC(=O)C1CC1,5,0,1,8
620,CC(=O)C1CN1,4,1,1,7
621,CC(=O)C1CO1,4,0,2,6
622,CC(=O)N1CC1,4,1,1,7
623,NC(=O)C1CC1,4,1,1,7
624,NC(=O)C1CN1,3,2,1,6
625,NC(=O)C1CO1,3,1,2,5
626,NC(=O)N1CC1,3,2,1,6
627,CC(C)C1CC1,6,0,0,12
628,CC(C)C1CO1,5,0,1,10
629,CC(C)N1CC1,5,1,0,11
630,CC(O)C1CC1,5,0,1,10
631,CC(O)C1CN1,4,1,1,9
632,CC(O)C1CO1,4,0,2,8
633,C1CC11CCC1,6,0,0,10
634,C1CC11CCO1,5,0,1,8
635,C1CC11COC1,5,0,1,8
636,C1NC11COC1,4,1,1,7
637,C1OC11CCC1,5,0,1,8
638,C1OC11COC1,4,0,2,6
639,C1C2CC1C=C2,6,0,0,8
640,C1C2OC1C=C2,5,0,1,6
641,C1C2CC1CC2,6,0,0,10
642,C1C2CC1OC2,5,0,1,8
643,C1C2CCC1O2,5,0,1,8
644,CC1C2CC1C2,6,0,0,10
645,CC1C2CC1O2,5,0,1,8
646,OC1C2CC1C2,5,0,1,8
647,OC1C2CC1O2,4,0,2,6
648,C1CC=CCO1,5,0,1,8
649,C1CCC=CC1,6,0,0,10
650,C1COC=NC1,4,1,1,7
651,C1CCCCC1,6,0,0,12
652,C1CCOCC1,5,0,1,10
653,C1COCCO1,4,0,2,8
654,C1COCOC1,4,0,2,8
655,C1CC2CCC12,6,0,0,10
656,C1CC2OCC12,5,0,1,8
657,C1OC2COC12,4,0,2,6
658,CC1C2CCC12,6,0,0,10
659,CC1C2COC12,5,0,1,8
660,OC1C2CCC12,5,0,1,8
661,OC1C2COC12,4,0,2,6
662,C1C2CC=CC12,6,0,0,8
663,C1C2OC=NC12,4,1,1,5
664,C1C=CC2NC12,5,1,0,7
665,C1C=CC2OC12,5,0,1,6
666,C1C2CCCC12,6,0,0,10
667,C1C2CCOC12,5,0,1,8
668,C1C2COCC12,5,0,1,8
669,C1C2OCOC12,4,0,2,6
670,C1CC2OC2C1,5,0,1,8
671,C1OCC2NC12,4,1,1,7
672,C1OCC2OC12,4,0,2,6
673,N=C1OC2CC12,4,1,1,5
674,O=C1CC2CC12,5,0,1,6
675,O=C1CC2CN12,4,1,1,5
676,O=C1CC2NC12,4,1,1,5
677,O=C1CC2OC12,4,0,2,4
678,O=C1CN2CC12,4,1,1,5
679,O=C1NC2CC12,4,1,1,5
680,O=C1OC2CC12,4,0,2,4
681,CC1CC2CC12,6,0,0,10
682,CC1CC2OC12,5,0,1,8
683,CC1OC2CC12,5,0,1,8
684,OC1CC2CC12,5,0,1,8
685,OC1CC2NC12,4,1,1,7
686,OC1CC2OC12,4,0,2,6
687,OC1CN2CC12,4,1,1,7
688,C1C2C3CC2C13,6,0,0,8
689,C1C2C3CN2C13,5,1,0,7
690,C1C2C3OC2C13,5,0,1,6
691,N1C2C3NC2C13,4,2,0,6
692,N1C2C3OC2C13,4,1,1,5
693,O1C2C3OC2C13,4,0,2,4
694,C1CC1C1CC1,6,0,0,10
695,C1CC1C1CO1,5,0,1,8
696,C1CC1N1CC1,5,1,0,9
697,C1NC1C1CN1,4,2,0,8
698,C1NC1C1CO1,4,1,1,7
699,C1OC1C1CO1,4,0,2,6
700,C1C2C1C1CC21,6,0,0,8
701,C1C2C1C1NC21,5,1,0,7
702,C1C2C1C1OC21,5,0,1,6
703,C1C2C1N1CC21,5,1,0,7
704,N1C2C1C1NC21,4,2,0,6
705,N1C2C1C1OC21,4,1,1,5
706,O1C2C1C1OC21,4,0,2,4
707,C1C2C3C1CN23,5,1,0,7
708,C1C2C3CC1C23,6,0,0,8
709,C1C2C3CC1N23,5,1,0,7
710,C1C2C3CN1C23,5,1,0,7
711,C1C2C3OC1C23,5,0,1,6
712,C12C3C1C1C2C31,6,0,0,6
